task_id,native_lang,target_lang,topic_id,template,slug,title,output_path
1,hu,en,1,how-to-say,how-to-say-i-love-you-in-english,"How to Say I Love You in English",src/content/articles/hu/en/how-to-say-i-love-you-in-english.mdx
2,hu,en,2,phrases-list,english-pet-names-for-your-partner,"English Pet Names for Your Partner",src/content/articles/hu/en/english-pet-names-for-your-partner.mdx
3,hu,en,3,phrases-list,essential-english-phrases-for-couples,"Essential English Phrases for Couples",src/content/articles/hu/en/essential-english-phrases-for-couples.mdx
4,hu,en,4,practical-guide,meeting-your-partners-english-family,"Meeting Your Partner's English Family",src/content/articles/hu/en/meeting-your-partners-english-family.mdx
5,hu,en,5,phrases-list,english-greetings-and-farewells,"English Greetings and Farewells",src/content/articles/hu/en/english-greetings-and-farewells.mdx
6,hu,en,6,phrases-list,english-date-night-vocabulary,"English Date Night Vocabulary",src/content/articles/hu/en/english-date-night-vocabulary.mdx
7,hu,en,7,phrases-list,romantic-english-phrases-for-every-occasion,"Romantic English Phrases for Every Occasion",src/content/articles/hu/en/romantic-english-phrases-for-every-occasion.mdx
8,hu,en,8,grammar-guide,english-pronunciation-guide-for-beginners,"English Pronunciation Guide for Beginners",src/content/articles/hu/en/english-pronunciation-guide-for-beginners.mdx
9,hu,en,9,grammar-guide,english-grammar-basics-for-beginners,"English Grammar Basics for Beginners",src/content/articles/hu/en/english-grammar-basics-for-beginners.mdx
10,hu,en,10,comparison,is-english-hard-to-learn,"Is English Hard to Learn?",src/content/articles/hu/en/is-english-hard-to-learn.mdx
11,hu,es,1,how-to-say,how-to-say-i-love-you-in-spanish,"How to Say I Love You in Spanish",src/content/articles/hu/es/how-to-say-i-love-you-in-spanish.mdx
12,hu,es,2,phrases-list,spanish-pet-names-for-your-partner,"Spanish Pet Names for Your Partner",src/content/articles/hu/es/spanish-pet-names-for-your-partner.mdx
13,hu,es,3,phrases-list,essential-spanish-phrases-for-couples,"Essential Spanish Phrases for Couples",src/content/articles/hu/es/essential-spanish-phrases-for-couples.mdx
14,hu,es,4,practical-guide,meeting-your-partners-spanish-family,"Meeting Your Partner's Spanish Family",src/content/articles/hu/es/meeting-your-partners-spanish-family.mdx
15,hu,es,5,phrases-list,spanish-greetings-and-farewells,"Spanish Greetings and Farewells",src/content/articles/hu/es/spanish-greetings-and-farewells.mdx
16,hu,es,6,phrases-list,spanish-date-night-vocabulary,"Spanish Date Night Vocabulary",src/content/articles/hu/es/spanish-date-night-vocabulary.mdx
17,hu,es,7,phrases-list,romantic-spanish-phrases-for-every-occasion,"Romantic Spanish Phrases for Every Occasion",src/content/articles/hu/es/romantic-spanish-phrases-for-every-occasion.mdx
18,hu,es,8,grammar-guide,spanish-pronunciation-guide-for-beginners,"Spanish Pronunciation Guide for Beginners",src/content/articles/hu/es/spanish-pronunciation-guide-for-beginners.mdx
19,hu,es,9,grammar-guide,spanish-grammar-basics-for-beginners,"Spanish Grammar Basics for Beginners",src/content/articles/hu/es/spanish-grammar-basics-for-beginners.mdx
20,hu,es,10,comparison,is-spanish-hard-to-learn,"Is Spanish Hard to Learn?",src/content/articles/hu/es/is-spanish-hard-to-learn.mdx
21,hu,fr,1,how-to-say,how-to-say-i-love-you-in-french,"How to Say I Love You in French",src/content/articles/hu/fr/how-to-say-i-love-you-in-french.mdx
22,hu,fr,2,phrases-list,french-pet-names-for-your-partner,"French Pet Names for Your Partner",src/content/articles/hu/fr/french-pet-names-for-your-partner.mdx
23,hu,fr,3,phrases-list,essential-french-phrases-for-couples,"Essential French Phrases for Couples",src/content/articles/hu/fr/essential-french-phrases-for-couples.mdx
24,hu,fr,4,practical-guide,meeting-your-partners-french-family,"Meeting Your Partner's French Family",src/content/articles/hu/fr/meeting-your-partners-french-family.mdx
25,hu,fr,5,phrases-list,french-greetings-and-farewells,"French Greetings and Farewells",src/content/articles/hu/fr/french-greetings-and-farewells.mdx
26,hu,fr,6,phrases-list,french-date-night-vocabulary,"French Date Night Vocabulary",src/content/articles/hu/fr/french-date-night-vocabulary.mdx
27,hu,fr,7,phrases-list,romantic-french-phrases-for-every-occasion,"Romantic French Phrases for Every Occasion",src/content/articles/hu/fr/romantic-french-phrases-for-every-occasion.mdx
28,hu,fr,8,grammar-guide,french-pronunciation-guide-for-beginners,"French Pronunciation Guide for Beginners",src/content/articles/hu/fr/french-pronunciation-guide-for-beginners.mdx
29,hu,fr,9,grammar-guide,french-grammar-basics-for-beginners,"French Grammar Basics for Beginners",src/content/articles/hu/fr/french-grammar-basics-for-beginners.mdx
30,hu,fr,10,comparison,is-french-hard-to-learn,"Is French Hard to Learn?",src/content/articles/hu/fr/is-french-hard-to-learn.mdx
31,hu,de,1,how-to-say,how-to-say-i-love-you-in-german,"How to Say I Love You in German",src/content/articles/hu/de/how-to-say-i-love-you-in-german.mdx
32,hu,de,2,phrases-list,german-pet-names-for-your-partner,"German Pet Names for Your Partner",src/content/articles/hu/de/german-pet-names-for-your-partner.mdx
33,hu,de,3,phrases-list,essential-german-phrases-for-couples,"Essential German Phrases for Couples",src/content/articles/hu/de/essential-german-phrases-for-couples.mdx
34,hu,de,4,practical-guide,meeting-your-partners-german-family,"Meeting Your Partner's German Family",src/content/articles/hu/de/meeting-your-partners-german-family.mdx
35,hu,de,5,phrases-list,german-greetings-and-farewells,"German Greetings and Farewells",src/content/articles/hu/de/german-greetings-and-farewells.mdx
36,hu,de,6,phrases-list,german-date-night-vocabulary,"German Date Night Vocabulary",src/content/articles/hu/de/german-date-night-vocabulary.mdx
37,hu,de,7,phrases-list,romantic-german-phrases-for-every-occasion,"Romantic German Phrases for Every Occasion",src/content/articles/hu/de/romantic-german-phrases-for-every-occasion.mdx
38,hu,de,8,grammar-guide,german-pronunciation-guide-for-beginners,"German Pronunciation Guide for Beginners",src/content/articles/hu/de/german-pronunciation-guide-for-beginners.mdx
39,hu,de,9,grammar-guide,german-grammar-basics-for-beginners,"German Grammar Basics for Beginners",src/content/articles/hu/de/german-grammar-basics-for-beginners.mdx
40,hu,de,10,comparison,is-german-hard-to-learn,"Is German Hard to Learn?",src/content/articles/hu/de/is-german-hard-to-learn.mdx
41,hu,it,1,how-to-say,how-to-say-i-love-you-in-italian,"How to Say I Love You in Italian",src/content/articles/hu/it/how-to-say-i-love-you-in-italian.mdx
42,hu,it,2,phrases-list,italian-pet-names-for-your-partner,"Italian Pet Names for Your Partner",src/content/articles/hu/it/italian-pet-names-for-your-partner.mdx
43,hu,it,3,phrases-list,essential-italian-phrases-for-couples,"Essential Italian Phrases for Couples",src/content/articles/hu/it/essential-italian-phrases-for-couples.mdx
44,hu,it,4,practical-guide,meeting-your-partners-italian-family,"Meeting Your Partner's Italian Family",src/content/articles/hu/it/meeting-your-partners-italian-family.mdx
45,hu,it,5,phrases-list,italian-greetings-and-farewells,"Italian Greetings and Farewells",src/content/articles/hu/it/italian-greetings-and-farewells.mdx
46,hu,it,6,phrases-list,italian-date-night-vocabulary,"Italian Date Night Vocabulary",src/content/articles/hu/it/italian-date-night-vocabulary.mdx
47,hu,it,7,phrases-list,romantic-italian-phrases-for-every-occasion,"Romantic Italian Phrases for Every Occasion",src/content/articles/hu/it/romantic-italian-phrases-for-every-occasion.mdx
48,hu,it,8,grammar-guide,italian-pronunciation-guide-for-beginners,"Italian Pronunciation Guide for Beginners",src/content/articles/hu/it/italian-pronunciation-guide-for-beginners.mdx
49,hu,it,9,grammar-guide,italian-grammar-basics-for-beginners,"Italian Grammar Basics for Beginners",src/content/articles/hu/it/italian-grammar-basics-for-beginners.mdx
50,hu,it,10,comparison,is-italian-hard-to-learn,"Is Italian Hard to Learn?",src/content/articles/hu/it/is-italian-hard-to-learn.mdx
51,hu,pt,1,how-to-say,how-to-say-i-love-you-in-portuguese,"How to Say I Love You in Portuguese",src/content/articles/hu/pt/how-to-say-i-love-you-in-portuguese.mdx
52,hu,pt,2,phrases-list,portuguese-pet-names-for-your-partner,"Portuguese Pet Names for Your Partner",src/content/articles/hu/pt/portuguese-pet-names-for-your-partner.mdx
53,hu,pt,3,phrases-list,essential-portuguese-phrases-for-couples,"Essential Portuguese Phrases for Couples",src/content/articles/hu/pt/essential-portuguese-phrases-for-couples.mdx
54,hu,pt,4,practical-guide,meeting-your-partners-portuguese-family,"Meeting Your Partner's Portuguese Family",src/content/articles/hu/pt/meeting-your-partners-portuguese-family.mdx
55,hu,pt,5,phrases-list,portuguese-greetings-and-farewells,"Portuguese Greetings and Farewells",src/content/articles/hu/pt/portuguese-greetings-and-farewells.mdx
56,hu,pt,6,phrases-list,portuguese-date-night-vocabulary,"Portuguese Date Night Vocabulary",src/content/articles/hu/pt/portuguese-date-night-vocabulary.mdx
57,hu,pt,7,phrases-list,romantic-portuguese-phrases-for-every-occasion,"Romantic Portuguese Phrases for Every Occasion",src/content/articles/hu/pt/romantic-portuguese-phrases-for-every-occasion.mdx
58,hu,pt,8,grammar-guide,portuguese-pronunciation-guide-for-beginners,"Portuguese Pronunciation Guide for Beginners",src/content/articles/hu/pt/portuguese-pronunciation-guide-for-beginners.mdx
59,hu,pt,9,grammar-guide,portuguese-grammar-basics-for-beginners,"Portuguese Grammar Basics for Beginners",src/content/articles/hu/pt/portuguese-grammar-basics-for-beginners.mdx
60,hu,pt,10,comparison,is-portuguese-hard-to-learn,"Is Portuguese Hard to Learn?",src/content/articles/hu/pt/is-portuguese-hard-to-learn.mdx
61,hu,nl,1,how-to-say,how-to-say-i-love-you-in-dutch,"How to Say I Love You in Dutch",src/content/articles/hu/nl/how-to-say-i-love-you-in-dutch.mdx
62,hu,nl,2,phrases-list,dutch-pet-names-for-your-partner,"Dutch Pet Names for Your Partner",src/content/articles/hu/nl/dutch-pet-names-for-your-partner.mdx
63,hu,nl,3,phrases-list,essential-dutch-phrases-for-couples,"Essential Dutch Phrases for Couples",src/content/articles/hu/nl/essential-dutch-phrases-for-couples.mdx
64,hu,nl,4,practical-guide,meeting-your-partners-dutch-family,"Meeting Your Partner's Dutch Family",src/content/articles/hu/nl/meeting-your-partners-dutch-family.mdx
65,hu,nl,5,phrases-list,dutch-greetings-and-farewells,"Dutch Greetings and Farewells",src/content/articles/hu/nl/dutch-greetings-and-farewells.mdx
66,hu,nl,6,phrases-list,dutch-date-night-vocabulary,"Dutch Date Night Vocabulary",src/content/articles/hu/nl/dutch-date-night-vocabulary.mdx
67,hu,nl,7,phrases-list,romantic-dutch-phrases-for-every-occasion,"Romantic Dutch Phrases for Every Occasion",src/content/articles/hu/nl/romantic-dutch-phrases-for-every-occasion.mdx
68,hu,nl,8,grammar-guide,dutch-pronunciation-guide-for-beginners,"Dutch Pronunciation Guide for Beginners",src/content/articles/hu/nl/dutch-pronunciation-guide-for-beginners.mdx
69,hu,nl,9,grammar-guide,dutch-grammar-basics-for-beginners,"Dutch Grammar Basics for Beginners",src/content/articles/hu/nl/dutch-grammar-basics-for-beginners.mdx
70,hu,nl,10,comparison,is-dutch-hard-to-learn,"Is Dutch Hard to Learn?",src/content/articles/hu/nl/is-dutch-hard-to-learn.mdx
71,hu,pl,1,how-to-say,how-to-say-i-love-you-in-polish,"How to Say I Love You in Polish",src/content/articles/hu/pl/how-to-say-i-love-you-in-polish.mdx
72,hu,pl,2,phrases-list,polish-pet-names-for-your-partner,"Polish Pet Names for Your Partner",src/content/articles/hu/pl/polish-pet-names-for-your-partner.mdx
73,hu,pl,3,phrases-list,essential-polish-phrases-for-couples,"Essential Polish Phrases for Couples",src/content/articles/hu/pl/essential-polish-phrases-for-couples.mdx
74,hu,pl,4,practical-guide,meeting-your-partners-polish-family,"Meeting Your Partner's Polish Family",src/content/articles/hu/pl/meeting-your-partners-polish-family.mdx
75,hu,pl,5,phrases-list,polish-greetings-and-farewells,"Polish Greetings and Farewells",src/content/articles/hu/pl/polish-greetings-and-farewells.mdx
76,hu,pl,6,phrases-list,polish-date-night-vocabulary,"Polish Date Night Vocabulary",src/content/articles/hu/pl/polish-date-night-vocabulary.mdx
77,hu,pl,7,phrases-list,romantic-polish-phrases-for-every-occasion,"Romantic Polish Phrases for Every Occasion",src/content/articles/hu/pl/romantic-polish-phrases-for-every-occasion.mdx
78,hu,pl,8,grammar-guide,polish-pronunciation-guide-for-beginners,"Polish Pronunciation Guide for Beginners",src/content/articles/hu/pl/polish-pronunciation-guide-for-beginners.mdx
79,hu,pl,9,grammar-guide,polish-grammar-basics-for-beginners,"Polish Grammar Basics for Beginners",src/content/articles/hu/pl/polish-grammar-basics-for-beginners.mdx
80,hu,pl,10,comparison,is-polish-hard-to-learn,"Is Polish Hard to Learn?",src/content/articles/hu/pl/is-polish-hard-to-learn.mdx
81,hu,ru,1,how-to-say,how-to-say-i-love-you-in-russian,"How to Say I Love You in Russian",src/content/articles/hu/ru/how-to-say-i-love-you-in-russian.mdx
82,hu,ru,2,phrases-list,russian-pet-names-for-your-partner,"Russian Pet Names for Your Partner",src/content/articles/hu/ru/russian-pet-names-for-your-partner.mdx
83,hu,ru,3,phrases-list,essential-russian-phrases-for-couples,"Essential Russian Phrases for Couples",src/content/articles/hu/ru/essential-russian-phrases-for-couples.mdx
84,hu,ru,4,practical-guide,meeting-your-partners-russian-family,"Meeting Your Partner's Russian Family",src/content/articles/hu/ru/meeting-your-partners-russian-family.mdx
85,hu,ru,5,phrases-list,russian-greetings-and-farewells,"Russian Greetings and Farewells",src/content/articles/hu/ru/russian-greetings-and-farewells.mdx
86,hu,ru,6,phrases-list,russian-date-night-vocabulary,"Russian Date Night Vocabulary",src/content/articles/hu/ru/russian-date-night-vocabulary.mdx
87,hu,ru,7,phrases-list,romantic-russian-phrases-for-every-occasion,"Romantic Russian Phrases for Every Occasion",src/content/articles/hu/ru/romantic-russian-phrases-for-every-occasion.mdx
88,hu,ru,8,grammar-guide,russian-pronunciation-guide-for-beginners,"Russian Pronunciation Guide for Beginners",src/content/articles/hu/ru/russian-pronunciation-guide-for-beginners.mdx
89,hu,ru,9,grammar-guide,russian-grammar-basics-for-beginners,"Russian Grammar Basics for Beginners",src/content/articles/hu/ru/russian-grammar-basics-for-beginners.mdx
90,hu,ru,10,comparison,is-russian-hard-to-learn,"Is Russian Hard to Learn?",src/content/articles/hu/ru/is-russian-hard-to-learn.mdx
91,hu,uk,1,how-to-say,how-to-say-i-love-you-in-ukrainian,"How to Say I Love You in Ukrainian",src/content/articles/hu/uk/how-to-say-i-love-you-in-ukrainian.mdx
92,hu,uk,2,phrases-list,ukrainian-pet-names-for-your-partner,"Ukrainian Pet Names for Your Partner",src/content/articles/hu/uk/ukrainian-pet-names-for-your-partner.mdx
93,hu,uk,3,phrases-list,essential-ukrainian-phrases-for-couples,"Essential Ukrainian Phrases for Couples",src/content/articles/hu/uk/essential-ukrainian-phrases-for-couples.mdx
94,hu,uk,4,practical-guide,meeting-your-partners-ukrainian-family,"Meeting Your Partner's Ukrainian Family",src/content/articles/hu/uk/meeting-your-partners-ukrainian-family.mdx
95,hu,uk,5,phrases-list,ukrainian-greetings-and-farewells,"Ukrainian Greetings and Farewells",src/content/articles/hu/uk/ukrainian-greetings-and-farewells.mdx
96,hu,uk,6,phrases-list,ukrainian-date-night-vocabulary,"Ukrainian Date Night Vocabulary",src/content/articles/hu/uk/ukrainian-date-night-vocabulary.mdx
97,hu,uk,7,phrases-list,romantic-ukrainian-phrases-for-every-occasion,"Romantic Ukrainian Phrases for Every Occasion",src/content/articles/hu/uk/romantic-ukrainian-phrases-for-every-occasion.mdx
98,hu,uk,8,grammar-guide,ukrainian-pronunciation-guide-for-beginners,"Ukrainian Pronunciation Guide for Beginners",src/content/articles/hu/uk/ukrainian-pronunciation-guide-for-beginners.mdx
99,hu,uk,9,grammar-guide,ukrainian-grammar-basics-for-beginners,"Ukrainian Grammar Basics for Beginners",src/content/articles/hu/uk/ukrainian-grammar-basics-for-beginners.mdx
100,hu,uk,10,comparison,is-ukrainian-hard-to-learn,"Is Ukrainian Hard to Learn?",src/content/articles/hu/uk/is-ukrainian-hard-to-learn.mdx
101,hu,tr,1,how-to-say,how-to-say-i-love-you-in-turkish,"How to Say I Love You in Turkish",src/content/articles/hu/tr/how-to-say-i-love-you-in-turkish.mdx
102,hu,tr,2,phrases-list,turkish-pet-names-for-your-partner,"Turkish Pet Names for Your Partner",src/content/articles/hu/tr/turkish-pet-names-for-your-partner.mdx
103,hu,tr,3,phrases-list,essential-turkish-phrases-for-couples,"Essential Turkish Phrases for Couples",src/content/articles/hu/tr/essential-turkish-phrases-for-couples.mdx
104,hu,tr,4,practical-guide,meeting-your-partners-turkish-family,"Meeting Your Partner's Turkish Family",src/content/articles/hu/tr/meeting-your-partners-turkish-family.mdx
105,hu,tr,5,phrases-list,turkish-greetings-and-farewells,"Turkish Greetings and Farewells",src/content/articles/hu/tr/turkish-greetings-and-farewells.mdx
106,hu,tr,6,phrases-list,turkish-date-night-vocabulary,"Turkish Date Night Vocabulary",src/content/articles/hu/tr/turkish-date-night-vocabulary.mdx
107,hu,tr,7,phrases-list,romantic-turkish-phrases-for-every-occasion,"Romantic Turkish Phrases for Every Occasion",src/content/articles/hu/tr/romantic-turkish-phrases-for-every-occasion.mdx
108,hu,tr,8,grammar-guide,turkish-pronunciation-guide-for-beginners,"Turkish Pronunciation Guide for Beginners",src/content/articles/hu/tr/turkish-pronunciation-guide-for-beginners.mdx
109,hu,tr,9,grammar-guide,turkish-grammar-basics-for-beginners,"Turkish Grammar Basics for Beginners",src/content/articles/hu/tr/turkish-grammar-basics-for-beginners.mdx
