task_id,native_lang,target_lang,topic_id,template,slug,title,output_path
1,pt,en,1,how-to-say,how-to-say-i-love-you-in-english,"How to Say I Love You in English",src/content/articles/pt/en/how-to-say-i-love-you-in-english.mdx
2,pt,en,2,phrases-list,english-pet-names-for-your-partner,"English Pet Names for Your Partner",src/content/articles/pt/en/english-pet-names-for-your-partner.mdx
3,pt,en,3,phrases-list,essential-english-phrases-for-couples,"Essential English Phrases for Couples",src/content/articles/pt/en/essential-english-phrases-for-couples.mdx
4,pt,en,4,practical-guide,meeting-your-partners-english-family,"Meeting Your Partner's English Family",src/content/articles/pt/en/meeting-your-partners-english-family.mdx
5,pt,en,5,phrases-list,english-greetings-and-farewells,"English Greetings and Farewells",src/content/articles/pt/en/english-greetings-and-farewells.mdx
6,pt,en,6,phrases-list,english-date-night-vocabulary,"English Date Night Vocabulary",src/content/articles/pt/en/english-date-night-vocabulary.mdx
7,pt,en,7,phrases-list,romantic-english-phrases-for-every-occasion,"Romantic English Phrases for Every Occasion",src/content/articles/pt/en/romantic-english-phrases-for-every-occasion.mdx
8,pt,en,8,grammar-guide,english-pronunciation-guide-for-beginners,"English Pronunciation Guide for Beginners",src/content/articles/pt/en/english-pronunciation-guide-for-beginners.mdx
9,pt,en,9,grammar-guide,english-grammar-basics-for-beginners,"English Grammar Basics for Beginners",src/content/articles/pt/en/english-grammar-basics-for-beginners.mdx
10,pt,en,10,comparison,is-english-hard-to-learn,"Is English Hard to Learn?",src/content/articles/pt/en/is-english-hard-to-learn.mdx
11,pt,es,1,how-to-say,how-to-say-i-love-you-in-spanish,"How to Say I Love You in Spanish",src/content/articles/pt/es/how-to-say-i-love-you-in-spanish.mdx
12,pt,es,2,phrases-list,spanish-pet-names-for-your-partner,"Spanish Pet Names for Your Partner",src/content/articles/pt/es/spanish-pet-names-for-your-partner.mdx
13,pt,es,3,phrases-list,essential-spanish-phrases-for-couples,"Essential Spanish Phrases for Couples",src/content/articles/pt/es/essential-spanish-phrases-for-couples.mdx
14,pt,es,4,practical-guide,meeting-your-partners-spanish-family,"Meeting Your Partner's Spanish Family",src/content/articles/pt/es/meeting-your-partners-spanish-family.mdx
15,pt,es,5,phrases-list,spanish-greetings-and-farewells,"Spanish Greetings and Farewells",src/content/articles/pt/es/spanish-greetings-and-farewells.mdx
16,pt,es,6,phrases-list,spanish-date-night-vocabulary,"Spanish Date Night Vocabulary",src/content/articles/pt/es/spanish-date-night-vocabulary.mdx
17,pt,es,7,phrases-list,romantic-spanish-phrases-for-every-occasion,"Romantic Spanish Phrases for Every Occasion",src/content/articles/pt/es/romantic-spanish-phrases-for-every-occasion.mdx
18,pt,es,8,grammar-guide,spanish-pronunciation-guide-for-beginners,"Spanish Pronunciation Guide for Beginners",src/content/articles/pt/es/spanish-pronunciation-guide-for-beginners.mdx
19,pt,es,9,grammar-guide,spanish-grammar-basics-for-beginners,"Spanish Grammar Basics for Beginners",src/content/articles/pt/es/spanish-grammar-basics-for-beginners.mdx
20,pt,es,10,comparison,is-spanish-hard-to-learn,"Is Spanish Hard to Learn?",src/content/articles/pt/es/is-spanish-hard-to-learn.mdx
21,pt,fr,1,how-to-say,how-to-say-i-love-you-in-french,"How to Say I Love You in French",src/content/articles/pt/fr/how-to-say-i-love-you-in-french.mdx
22,pt,fr,2,phrases-list,french-pet-names-for-your-partner,"French Pet Names for Your Partner",src/content/articles/pt/fr/french-pet-names-for-your-partner.mdx
23,pt,fr,3,phrases-list,essential-french-phrases-for-couples,"Essential French Phrases for Couples",src/content/articles/pt/fr/essential-french-phrases-for-couples.mdx
24,pt,fr,4,practical-guide,meeting-your-partners-french-family,"Meeting Your Partner's French Family",src/content/articles/pt/fr/meeting-your-partners-french-family.mdx
25,pt,fr,5,phrases-list,french-greetings-and-farewells,"French Greetings and Farewells",src/content/articles/pt/fr/french-greetings-and-farewells.mdx
26,pt,fr,6,phrases-list,french-date-night-vocabulary,"French Date Night Vocabulary",src/content/articles/pt/fr/french-date-night-vocabulary.mdx
27,pt,fr,7,phrases-list,romantic-french-phrases-for-every-occasion,"Romantic French Phrases for Every Occasion",src/content/articles/pt/fr/romantic-french-phrases-for-every-occasion.mdx
28,pt,fr,8,grammar-guide,french-pronunciation-guide-for-beginners,"French Pronunciation Guide for Beginners",src/content/articles/pt/fr/french-pronunciation-guide-for-beginners.mdx
29,pt,fr,9,grammar-guide,french-grammar-basics-for-beginners,"French Grammar Basics for Beginners",src/content/articles/pt/fr/french-grammar-basics-for-beginners.mdx
30,pt,fr,10,comparison,is-french-hard-to-learn,"Is French Hard to Learn?",src/content/articles/pt/fr/is-french-hard-to-learn.mdx
31,pt,de,1,how-to-say,how-to-say-i-love-you-in-german,"How to Say I Love You in German",src/content/articles/pt/de/how-to-say-i-love-you-in-german.mdx
