task_id,native_lang,target_lang,topic_id,template,slug,title,output_path
1,en,es,1,how-to-say,how-to-say-i-love-you-in-spanish,"How to Say I Love You in Spanish",src/content/articles/en/es/how-to-say-i-love-you-in-spanish.mdx
2,en,es,2,phrases-list,spanish-pet-names-for-your-partner,"Spanish Pet Names for Your Partner",src/content/articles/en/es/spanish-pet-names-for-your-partner.mdx
3,en,es,3,phrases-list,essential-spanish-phrases-for-couples,"Essential Spanish Phrases for Couples",src/content/articles/en/es/essential-spanish-phrases-for-couples.mdx
4,en,es,4,practical-guide,meeting-your-partners-spanish-family,"Meeting Your Partner's Spanish Family",src/content/articles/en/es/meeting-your-partners-spanish-family.mdx
5,en,es,5,phrases-list,spanish-greetings-and-farewells,"Spanish Greetings and Farewells",src/content/articles/en/es/spanish-greetings-and-farewells.mdx
6,en,es,6,phrases-list,spanish-date-night-vocabulary,"Spanish Date Night Vocabulary",src/content/articles/en/es/spanish-date-night-vocabulary.mdx
7,en,es,7,phrases-list,romantic-spanish-phrases-for-every-occasion,"Romantic Spanish Phrases for Every Occasion",src/content/articles/en/es/romantic-spanish-phrases-for-every-occasion.mdx
8,en,es,8,grammar-guide,spanish-pronunciation-guide-for-beginners,"Spanish Pronunciation Guide for Beginners",src/content/articles/en/es/spanish-pronunciation-guide-for-beginners.mdx
9,en,es,9,grammar-guide,spanish-grammar-basics-for-beginners,"Spanish Grammar Basics for Beginners",src/content/articles/en/es/spanish-grammar-basics-for-beginners.mdx
10,en,es,10,comparison,is-spanish-hard-to-learn,"Is Spanish Hard to Learn?",src/content/articles/en/es/is-spanish-hard-to-learn.mdx
11,en,fr,1,how-to-say,how-to-say-i-love-you-in-french,"How to Say I Love You in French",src/content/articles/en/fr/how-to-say-i-love-you-in-french.mdx
12,en,fr,2,phrases-list,french-pet-names-for-your-partner,"French Pet Names for Your Partner",src/content/articles/en/fr/french-pet-names-for-your-partner.mdx
13,en,fr,3,phrases-list,essential-french-phrases-for-couples,"Essential French Phrases for Couples",src/content/articles/en/fr/essential-french-phrases-for-couples.mdx
14,en,fr,4,practical-guide,meeting-your-partners-french-family,"Meeting Your Partner's French Family",src/content/articles/en/fr/meeting-your-partners-french-family.mdx
15,en,fr,5,phrases-list,french-greetings-and-farewells,"French Greetings and Farewells",src/content/articles/en/fr/french-greetings-and-farewells.mdx
16,en,fr,6,phrases-list,french-date-night-vocabulary,"French Date Night Vocabulary",src/content/articles/en/fr/french-date-night-vocabulary.mdx
17,en,fr,7,phrases-list,romantic-french-phrases-for-every-occasion,"Romantic French Phrases for Every Occasion",src/content/articles/en/fr/romantic-french-phrases-for-every-occasion.mdx
18,en,fr,8,grammar-guide,french-pronunciation-guide-for-beginners,"French Pronunciation Guide for Beginners",src/content/articles/en/fr/french-pronunciation-guide-for-beginners.mdx
19,en,fr,9,grammar-guide,french-grammar-basics-for-beginners,"French Grammar Basics for Beginners",src/content/articles/en/fr/french-grammar-basics-for-beginners.mdx
20,en,fr,10,comparison,is-french-hard-to-learn,"Is French Hard to Learn?",src/content/articles/en/fr/is-french-hard-to-learn.mdx
21,en,de,1,how-to-say,how-to-say-i-love-you-in-german,"How to Say I Love You in German",src/content/articles/en/de/how-to-say-i-love-you-in-german.mdx
22,en,de,2,phrases-list,german-pet-names-for-your-partner,"German Pet Names for Your Partner",src/content/articles/en/de/german-pet-names-for-your-partner.mdx
23,en,de,3,phrases-list,essential-german-phrases-for-couples,"Essential German Phrases for Couples",src/content/articles/en/de/essential-german-phrases-for-couples.mdx
24,en,de,4,practical-guide,meeting-your-partners-german-family,"Meeting Your Partner's German Family",src/content/articles/en/de/meeting-your-partners-german-family.mdx
25,en,de,5,phrases-list,german-greetings-and-farewells,"German Greetings and Farewells",src/content/articles/en/de/german-greetings-and-farewells.mdx
26,en,de,6,phrases-list,german-date-night-vocabulary,"German Date Night Vocabulary",src/content/articles/en/de/german-date-night-vocabulary.mdx
27,en,de,7,phrases-list,romantic-german-phrases-for-every-occasion,"Romantic German Phrases for Every Occasion",src/content/articles/en/de/romantic-german-phrases-for-every-occasion.mdx
28,en,de,8,grammar-guide,german-pronunciation-guide-for-beginners,"German Pronunciation Guide for Beginners",src/content/articles/en/de/german-pronunciation-guide-for-beginners.mdx
29,en,de,9,grammar-guide,german-grammar-basics-for-beginners,"German Grammar Basics for Beginners",src/content/articles/en/de/german-grammar-basics-for-beginners.mdx
30,en,de,10,comparison,is-german-hard-to-learn,"Is German Hard to Learn?",src/content/articles/en/de/is-german-hard-to-learn.mdx
31,en,it,1,how-to-say,how-to-say-i-love-you-in-italian,"How to Say I Love You in Italian",src/content/articles/en/it/how-to-say-i-love-you-in-italian.mdx
32,en,it,2,phrases-list,italian-pet-names-for-your-partner,"Italian Pet Names for Your Partner",src/content/articles/en/it/italian-pet-names-for-your-partner.mdx
33,en,it,3,phrases-list,essential-italian-phrases-for-couples,"Essential Italian Phrases for Couples",src/content/articles/en/it/essential-italian-phrases-for-couples.mdx
34,en,it,4,practical-guide,meeting-your-partners-italian-family,"Meeting Your Partner's Italian Family",src/content/articles/en/it/meeting-your-partners-italian-family.mdx
35,en,it,5,phrases-list,italian-greetings-and-farewells,"Italian Greetings and Farewells",src/content/articles/en/it/italian-greetings-and-farewells.mdx
36,en,it,6,phrases-list,italian-date-night-vocabulary,"Italian Date Night Vocabulary",src/content/articles/en/it/italian-date-night-vocabulary.mdx
37,en,it,7,phrases-list,romantic-italian-phrases-for-every-occasion,"Romantic Italian Phrases for Every Occasion",src/content/articles/en/it/romantic-italian-phrases-for-every-occasion.mdx
38,en,it,8,grammar-guide,italian-pronunciation-guide-for-beginners,"Italian Pronunciation Guide for Beginners",src/content/articles/en/it/italian-pronunciation-guide-for-beginners.mdx
39,en,it,9,grammar-guide,italian-grammar-basics-for-beginners,"Italian Grammar Basics for Beginners",src/content/articles/en/it/italian-grammar-basics-for-beginners.mdx
40,en,it,10,comparison,is-italian-hard-to-learn,"Is Italian Hard to Learn?",src/content/articles/en/it/is-italian-hard-to-learn.mdx
41,en,pt,1,how-to-say,how-to-say-i-love-you-in-portuguese,"How to Say I Love You in Portuguese",src/content/articles/en/pt/how-to-say-i-love-you-in-portuguese.mdx
42,en,pt,2,phrases-list,portuguese-pet-names-for-your-partner,"Portuguese Pet Names for Your Partner",src/content/articles/en/pt/portuguese-pet-names-for-your-partner.mdx
43,en,pt,3,phrases-list,essential-portuguese-phrases-for-couples,"Essential Portuguese Phrases for Couples",src/content/articles/en/pt/essential-portuguese-phrases-for-couples.mdx
44,en,pt,4,practical-guide,meeting-your-partners-portuguese-family,"Meeting Your Partner's Portuguese Family",src/content/articles/en/pt/meeting-your-partners-portuguese-family.mdx
45,en,pt,5,phrases-list,portuguese-greetings-and-farewells,"Portuguese Greetings and Farewells",src/content/articles/en/pt/portuguese-greetings-and-farewells.mdx
46,en,pt,6,phrases-list,portuguese-date-night-vocabulary,"Portuguese Date Night Vocabulary",src/content/articles/en/pt/portuguese-date-night-vocabulary.mdx
47,en,pt,7,phrases-list,romantic-portuguese-phrases-for-every-occasion,"Romantic Portuguese Phrases for Every Occasion",src/content/articles/en/pt/romantic-portuguese-phrases-for-every-occasion.mdx
48,en,pt,8,grammar-guide,portuguese-pronunciation-guide-for-beginners,"Portuguese Pronunciation Guide for Beginners",src/content/articles/en/pt/portuguese-pronunciation-guide-for-beginners.mdx
49,en,pt,9,grammar-guide,portuguese-grammar-basics-for-beginners,"Portuguese Grammar Basics for Beginners",src/content/articles/en/pt/portuguese-grammar-basics-for-beginners.mdx
50,en,pt,10,comparison,is-portuguese-hard-to-learn,"Is Portuguese Hard to Learn?",src/content/articles/en/pt/is-portuguese-hard-to-learn.mdx
