task_id,native_lang,target_lang,topic_id,template,slug,title,output_path
1,uk,en,1,how-to-say,how-to-say-i-love-you-in-english,"How to Say I Love You in English",src/content/articles/uk/en/how-to-say-i-love-you-in-english.mdx
2,uk,en,2,phrases-list,english-pet-names-for-your-partner,"English Pet Names for Your Partner",src/content/articles/uk/en/english-pet-names-for-your-partner.mdx
3,uk,en,3,phrases-list,essential-english-phrases-for-couples,"Essential English Phrases for Couples",src/content/articles/uk/en/essential-english-phrases-for-couples.mdx
4,uk,en,4,practical-guide,meeting-your-partners-english-family,"Meeting Your Partner's English Family",src/content/articles/uk/en/meeting-your-partners-english-family.mdx
5,uk,en,5,phrases-list,english-greetings-and-farewells,"English Greetings and Farewells",src/content/articles/uk/en/english-greetings-and-farewells.mdx
6,uk,en,6,phrases-list,english-date-night-vocabulary,"English Date Night Vocabulary",src/content/articles/uk/en/english-date-night-vocabulary.mdx
7,uk,en,7,phrases-list,romantic-english-phrases-for-every-occasion,"Romantic English Phrases for Every Occasion",src/content/articles/uk/en/romantic-english-phrases-for-every-occasion.mdx
8,uk,en,8,grammar-guide,english-pronunciation-guide-for-beginners,"English Pronunciation Guide for Beginners",src/content/articles/uk/en/english-pronunciation-guide-for-beginners.mdx
9,uk,en,9,grammar-guide,english-grammar-basics-for-beginners,"English Grammar Basics for Beginners",src/content/articles/uk/en/english-grammar-basics-for-beginners.mdx
10,uk,en,10,comparison,is-english-hard-to-learn,"Is English Hard to Learn?",src/content/articles/uk/en/is-english-hard-to-learn.mdx
11,uk,es,1,how-to-say,how-to-say-i-love-you-in-spanish,"How to Say I Love You in Spanish",src/content/articles/uk/es/how-to-say-i-love-you-in-spanish.mdx
12,uk,es,2,phrases-list,spanish-pet-names-for-your-partner,"Spanish Pet Names for Your Partner",src/content/articles/uk/es/spanish-pet-names-for-your-partner.mdx
13,uk,es,3,phrases-list,essential-spanish-phrases-for-couples,"Essential Spanish Phrases for Couples",src/content/articles/uk/es/essential-spanish-phrases-for-couples.mdx
14,uk,es,4,practical-guide,meeting-your-partners-spanish-family,"Meeting Your Partner's Spanish Family",src/content/articles/uk/es/meeting-your-partners-spanish-family.mdx
15,uk,es,5,phrases-list,spanish-greetings-and-farewells,"Spanish Greetings and Farewells",src/content/articles/uk/es/spanish-greetings-and-farewells.mdx
16,uk,es,6,phrases-list,spanish-date-night-vocabulary,"Spanish Date Night Vocabulary",src/content/articles/uk/es/spanish-date-night-vocabulary.mdx
17,uk,es,7,phrases-list,romantic-spanish-phrases-for-every-occasion,"Romantic Spanish Phrases for Every Occasion",src/content/articles/uk/es/romantic-spanish-phrases-for-every-occasion.mdx
18,uk,es,8,grammar-guide,spanish-pronunciation-guide-for-beginners,"Spanish Pronunciation Guide for Beginners",src/content/articles/uk/es/spanish-pronunciation-guide-for-beginners.mdx
19,uk,es,9,grammar-guide,spanish-grammar-basics-for-beginners,"Spanish Grammar Basics for Beginners",src/content/articles/uk/es/spanish-grammar-basics-for-beginners.mdx
20,uk,es,10,comparison,is-spanish-hard-to-learn,"Is Spanish Hard to Learn?",src/content/articles/uk/es/is-spanish-hard-to-learn.mdx
21,uk,fr,1,how-to-say,how-to-say-i-love-you-in-french,"How to Say I Love You in French",src/content/articles/uk/fr/how-to-say-i-love-you-in-french.mdx
22,uk,fr,2,phrases-list,french-pet-names-for-your-partner,"French Pet Names for Your Partner",src/content/articles/uk/fr/french-pet-names-for-your-partner.mdx
23,uk,fr,3,phrases-list,essential-french-phrases-for-couples,"Essential French Phrases for Couples",src/content/articles/uk/fr/essential-french-phrases-for-couples.mdx
24,uk,fr,4,practical-guide,meeting-your-partners-french-family,"Meeting Your Partner's French Family",src/content/articles/uk/fr/meeting-your-partners-french-family.mdx
25,uk,fr,5,phrases-list,french-greetings-and-farewells,"French Greetings and Farewells",src/content/articles/uk/fr/french-greetings-and-farewells.mdx
26,uk,fr,6,phrases-list,french-date-night-vocabulary,"French Date Night Vocabulary",src/content/articles/uk/fr/french-date-night-vocabulary.mdx
27,uk,fr,7,phrases-list,romantic-french-phrases-for-every-occasion,"Romantic French Phrases for Every Occasion",src/content/articles/uk/fr/romantic-french-phrases-for-every-occasion.mdx
28,uk,fr,8,grammar-guide,french-pronunciation-guide-for-beginners,"French Pronunciation Guide for Beginners",src/content/articles/uk/fr/french-pronunciation-guide-for-beginners.mdx
29,uk,fr,9,grammar-guide,french-grammar-basics-for-beginners,"French Grammar Basics for Beginners",src/content/articles/uk/fr/french-grammar-basics-for-beginners.mdx
30,uk,fr,10,comparison,is-french-hard-to-learn,"Is French Hard to Learn?",src/content/articles/uk/fr/is-french-hard-to-learn.mdx
31,uk,de,1,how-to-say,how-to-say-i-love-you-in-german,"How to Say I Love You in German",src/content/articles/uk/de/how-to-say-i-love-you-in-german.mdx
32,uk,de,2,phrases-list,german-pet-names-for-your-partner,"German Pet Names for Your Partner",src/content/articles/uk/de/german-pet-names-for-your-partner.mdx
33,uk,de,3,phrases-list,essential-german-phrases-for-couples,"Essential German Phrases for Couples",src/content/articles/uk/de/essential-german-phrases-for-couples.mdx
34,uk,de,4,practical-guide,meeting-your-partners-german-family,"Meeting Your Partner's German Family",src/content/articles/uk/de/meeting-your-partners-german-family.mdx
35,uk,de,5,phrases-list,german-greetings-and-farewells,"German Greetings and Farewells",src/content/articles/uk/de/german-greetings-and-farewells.mdx
36,uk,de,6,phrases-list,german-date-night-vocabulary,"German Date Night Vocabulary",src/content/articles/uk/de/german-date-night-vocabulary.mdx
37,uk,de,7,phrases-list,romantic-german-phrases-for-every-occasion,"Romantic German Phrases for Every Occasion",src/content/articles/uk/de/romantic-german-phrases-for-every-occasion.mdx
38,uk,de,8,grammar-guide,german-pronunciation-guide-for-beginners,"German Pronunciation Guide for Beginners",src/content/articles/uk/de/german-pronunciation-guide-for-beginners.mdx
39,uk,de,9,grammar-guide,german-grammar-basics-for-beginners,"German Grammar Basics for Beginners",src/content/articles/uk/de/german-grammar-basics-for-beginners.mdx
