task_id,native_lang,target_lang,topic_id,template,slug,title,output_path
1,it,en,1,how-to-say,how-to-say-i-love-you-in-english,"How to Say I Love You in English",src/content/articles/it/en/how-to-say-i-love-you-in-english.mdx
2,it,en,2,phrases-list,english-pet-names-for-your-partner,"English Pet Names for Your Partner",src/content/articles/it/en/english-pet-names-for-your-partner.mdx
3,it,en,3,phrases-list,essential-english-phrases-for-couples,"Essential English Phrases for Couples",src/content/articles/it/en/essential-english-phrases-for-couples.mdx
4,it,en,4,practical-guide,meeting-your-partners-english-family,"Meeting Your Partner's English Family",src/content/articles/it/en/meeting-your-partners-english-family.mdx
5,it,en,5,phrases-list,english-greetings-and-farewells,"English Greetings and Farewells",src/content/articles/it/en/english-greetings-and-farewells.mdx
6,it,en,6,phrases-list,english-date-night-vocabulary,"English Date Night Vocabulary",src/content/articles/it/en/english-date-night-vocabulary.mdx
7,it,en,7,phrases-list,romantic-english-phrases-for-every-occasion,"Romantic English Phrases for Every Occasion",src/content/articles/it/en/romantic-english-phrases-for-every-occasion.mdx
8,it,en,8,grammar-guide,english-pronunciation-guide-for-beginners,"English Pronunciation Guide for Beginners",src/content/articles/it/en/english-pronunciation-guide-for-beginners.mdx
9,it,en,9,grammar-guide,english-grammar-basics-for-beginners,"English Grammar Basics for Beginners",src/content/articles/it/en/english-grammar-basics-for-beginners.mdx
10,it,en,10,comparison,is-english-hard-to-learn,"Is English Hard to Learn?",src/content/articles/it/en/is-english-hard-to-learn.mdx
11,it,es,1,how-to-say,how-to-say-i-love-you-in-spanish,"How to Say I Love You in Spanish",src/content/articles/it/es/how-to-say-i-love-you-in-spanish.mdx
12,it,es,2,phrases-list,spanish-pet-names-for-your-partner,"Spanish Pet Names for Your Partner",src/content/articles/it/es/spanish-pet-names-for-your-partner.mdx
13,it,es,3,phrases-list,essential-spanish-phrases-for-couples,"Essential Spanish Phrases for Couples",src/content/articles/it/es/essential-spanish-phrases-for-couples.mdx
14,it,es,4,practical-guide,meeting-your-partners-spanish-family,"Meeting Your Partner's Spanish Family",src/content/articles/it/es/meeting-your-partners-spanish-family.mdx
15,it,es,5,phrases-list,spanish-greetings-and-farewells,"Spanish Greetings and Farewells",src/content/articles/it/es/spanish-greetings-and-farewells.mdx
16,it,es,6,phrases-list,spanish-date-night-vocabulary,"Spanish Date Night Vocabulary",src/content/articles/it/es/spanish-date-night-vocabulary.mdx
17,it,es,7,phrases-list,romantic-spanish-phrases-for-every-occasion,"Romantic Spanish Phrases for Every Occasion",src/content/articles/it/es/romantic-spanish-phrases-for-every-occasion.mdx
18,it,es,8,grammar-guide,spanish-pronunciation-guide-for-beginners,"Spanish Pronunciation Guide for Beginners",src/content/articles/it/es/spanish-pronunciation-guide-for-beginners.mdx
19,it,es,9,grammar-guide,spanish-grammar-basics-for-beginners,"Spanish Grammar Basics for Beginners",src/content/articles/it/es/spanish-grammar-basics-for-beginners.mdx
20,it,es,10,comparison,is-spanish-hard-to-learn,"Is Spanish Hard to Learn?",src/content/articles/it/es/is-spanish-hard-to-learn.mdx
21,it,fr,1,how-to-say,how-to-say-i-love-you-in-french,"How to Say I Love You in French",src/content/articles/it/fr/how-to-say-i-love-you-in-french.mdx
22,it,fr,2,phrases-list,french-pet-names-for-your-partner,"French Pet Names for Your Partner",src/content/articles/it/fr/french-pet-names-for-your-partner.mdx
23,it,fr,3,phrases-list,essential-french-phrases-for-couples,"Essential French Phrases for Couples",src/content/articles/it/fr/essential-french-phrases-for-couples.mdx
24,it,fr,4,practical-guide,meeting-your-partners-french-family,"Meeting Your Partner's French Family",src/content/articles/it/fr/meeting-your-partners-french-family.mdx
25,it,fr,5,phrases-list,french-greetings-and-farewells,"French Greetings and Farewells",src/content/articles/it/fr/french-greetings-and-farewells.mdx
26,it,fr,6,phrases-list,french-date-night-vocabulary,"French Date Night Vocabulary",src/content/articles/it/fr/french-date-night-vocabulary.mdx
27,it,fr,7,phrases-list,romantic-french-phrases-for-every-occasion,"Romantic French Phrases for Every Occasion",src/content/articles/it/fr/romantic-french-phrases-for-every-occasion.mdx
28,it,fr,8,grammar-guide,french-pronunciation-guide-for-beginners,"French Pronunciation Guide for Beginners",src/content/articles/it/fr/french-pronunciation-guide-for-beginners.mdx
29,it,fr,9,grammar-guide,french-grammar-basics-for-beginners,"French Grammar Basics for Beginners",src/content/articles/it/fr/french-grammar-basics-for-beginners.mdx
30,it,fr,10,comparison,is-french-hard-to-learn,"Is French Hard to Learn?",src/content/articles/it/fr/is-french-hard-to-learn.mdx
31,it,de,1,how-to-say,how-to-say-i-love-you-in-german,"How to Say I Love You in German",src/content/articles/it/de/how-to-say-i-love-you-in-german.mdx
32,it,de,2,phrases-list,german-pet-names-for-your-partner,"German Pet Names for Your Partner",src/content/articles/it/de/german-pet-names-for-your-partner.mdx
33,it,de,3,phrases-list,essential-german-phrases-for-couples,"Essential German Phrases for Couples",src/content/articles/it/de/essential-german-phrases-for-couples.mdx
34,it,de,4,practical-guide,meeting-your-partners-german-family,"Meeting Your Partner's German Family",src/content/articles/it/de/meeting-your-partners-german-family.mdx
35,it,de,5,phrases-list,german-greetings-and-farewells,"German Greetings and Farewells",src/content/articles/it/de/german-greetings-and-farewells.mdx
36,it,de,6,phrases-list,german-date-night-vocabulary,"German Date Night Vocabulary",src/content/articles/it/de/german-date-night-vocabulary.mdx
37,it,de,7,phrases-list,romantic-german-phrases-for-every-occasion,"Romantic German Phrases for Every Occasion",src/content/articles/it/de/romantic-german-phrases-for-every-occasion.mdx
38,it,de,8,grammar-guide,german-pronunciation-guide-for-beginners,"German Pronunciation Guide for Beginners",src/content/articles/it/de/german-pronunciation-guide-for-beginners.mdx
39,it,de,9,grammar-guide,german-grammar-basics-for-beginners,"German Grammar Basics for Beginners",src/content/articles/it/de/german-grammar-basics-for-beginners.mdx
40,it,de,10,comparison,is-german-hard-to-learn,"Is German Hard to Learn?",src/content/articles/it/de/is-german-hard-to-learn.mdx
41,it,pt,1,how-to-say,how-to-say-i-love-you-in-portuguese,"How to Say I Love You in Portuguese",src/content/articles/it/pt/how-to-say-i-love-you-in-portuguese.mdx
42,it,pt,2,phrases-list,portuguese-pet-names-for-your-partner,"Portuguese Pet Names for Your Partner",src/content/articles/it/pt/portuguese-pet-names-for-your-partner.mdx
43,it,pt,3,phrases-list,essential-portuguese-phrases-for-couples,"Essential Portuguese Phrases for Couples",src/content/articles/it/pt/essential-portuguese-phrases-for-couples.mdx
44,it,pt,4,practical-guide,meeting-your-partners-portuguese-family,"Meeting Your Partner's Portuguese Family",src/content/articles/it/pt/meeting-your-partners-portuguese-family.mdx
45,it,pt,5,phrases-list,portuguese-greetings-and-farewells,"Portuguese Greetings and Farewells",src/content/articles/it/pt/portuguese-greetings-and-farewells.mdx
46,it,pt,6,phrases-list,portuguese-date-night-vocabulary,"Portuguese Date Night Vocabulary",src/content/articles/it/pt/portuguese-date-night-vocabulary.mdx
47,it,pt,7,phrases-list,romantic-portuguese-phrases-for-every-occasion,"Romantic Portuguese Phrases for Every Occasion",src/content/articles/it/pt/romantic-portuguese-phrases-for-every-occasion.mdx
48,it,pt,8,grammar-guide,portuguese-pronunciation-guide-for-beginners,"Portuguese Pronunciation Guide for Beginners",src/content/articles/it/pt/portuguese-pronunciation-guide-for-beginners.mdx
49,it,pt,9,grammar-guide,portuguese-grammar-basics-for-beginners,"Portuguese Grammar Basics for Beginners",src/content/articles/it/pt/portuguese-grammar-basics-for-beginners.mdx
50,it,pt,10,comparison,is-portuguese-hard-to-learn,"Is Portuguese Hard to Learn?",src/content/articles/it/pt/is-portuguese-hard-to-learn.mdx
51,it,nl,1,how-to-say,how-to-say-i-love-you-in-dutch,"How to Say I Love You in Dutch",src/content/articles/it/nl/how-to-say-i-love-you-in-dutch.mdx
52,it,nl,2,phrases-list,dutch-pet-names-for-your-partner,"Dutch Pet Names for Your Partner",src/content/articles/it/nl/dutch-pet-names-for-your-partner.mdx
53,it,nl,3,phrases-list,essential-dutch-phrases-for-couples,"Essential Dutch Phrases for Couples",src/content/articles/it/nl/essential-dutch-phrases-for-couples.mdx
54,it,nl,4,practical-guide,meeting-your-partners-dutch-family,"Meeting Your Partner's Dutch Family",src/content/articles/it/nl/meeting-your-partners-dutch-family.mdx
55,it,nl,5,phrases-list,dutch-greetings-and-farewells,"Dutch Greetings and Farewells",src/content/articles/it/nl/dutch-greetings-and-farewells.mdx
56,it,nl,6,phrases-list,dutch-date-night-vocabulary,"Dutch Date Night Vocabulary",src/content/articles/it/nl/dutch-date-night-vocabulary.mdx
57,it,nl,7,phrases-list,romantic-dutch-phrases-for-every-occasion,"Romantic Dutch Phrases for Every Occasion",src/content/articles/it/nl/romantic-dutch-phrases-for-every-occasion.mdx
58,it,nl,8,grammar-guide,dutch-pronunciation-guide-for-beginners,"Dutch Pronunciation Guide for Beginners",src/content/articles/it/nl/dutch-pronunciation-guide-for-beginners.mdx
