task_id,native_lang,target_lang,topic_id,template,slug,title,output_path
1,no,en,1,how-to-say,how-to-say-i-love-you-in-english,"How to Say I Love You in English",src/content/articles/no/en/how-to-say-i-love-you-in-english.mdx
2,no,en,2,phrases-list,english-pet-names-for-your-partner,"English Pet Names for Your Partner",src/content/articles/no/en/english-pet-names-for-your-partner.mdx
3,no,en,3,phrases-list,essential-english-phrases-for-couples,"Essential English Phrases for Couples",src/content/articles/no/en/essential-english-phrases-for-couples.mdx
4,no,en,4,practical-guide,meeting-your-partners-english-family,"Meeting Your Partner's English Family",src/content/articles/no/en/meeting-your-partners-english-family.mdx
5,no,en,5,phrases-list,english-greetings-and-farewells,"English Greetings and Farewells",src/content/articles/no/en/english-greetings-and-farewells.mdx
6,no,en,6,phrases-list,english-date-night-vocabulary,"English Date Night Vocabulary",src/content/articles/no/en/english-date-night-vocabulary.mdx
7,no,en,7,phrases-list,romantic-english-phrases-for-every-occasion,"Romantic English Phrases for Every Occasion",src/content/articles/no/en/romantic-english-phrases-for-every-occasion.mdx
8,no,en,8,grammar-guide,english-pronunciation-guide-for-beginners,"English Pronunciation Guide for Beginners",src/content/articles/no/en/english-pronunciation-guide-for-beginners.mdx
9,no,en,9,grammar-guide,english-grammar-basics-for-beginners,"English Grammar Basics for Beginners",src/content/articles/no/en/english-grammar-basics-for-beginners.mdx
10,no,en,10,comparison,is-english-hard-to-learn,"Is English Hard to Learn?",src/content/articles/no/en/is-english-hard-to-learn.mdx
11,no,es,1,how-to-say,how-to-say-i-love-you-in-spanish,"How to Say I Love You in Spanish",src/content/articles/no/es/how-to-say-i-love-you-in-spanish.mdx
12,no,es,2,phrases-list,spanish-pet-names-for-your-partner,"Spanish Pet Names for Your Partner",src/content/articles/no/es/spanish-pet-names-for-your-partner.mdx
13,no,es,3,phrases-list,essential-spanish-phrases-for-couples,"Essential Spanish Phrases for Couples",src/content/articles/no/es/essential-spanish-phrases-for-couples.mdx
14,no,es,4,practical-guide,meeting-your-partners-spanish-family,"Meeting Your Partner's Spanish Family",src/content/articles/no/es/meeting-your-partners-spanish-family.mdx
15,no,es,5,phrases-list,spanish-greetings-and-farewells,"Spanish Greetings and Farewells",src/content/articles/no/es/spanish-greetings-and-farewells.mdx
16,no,es,6,phrases-list,spanish-date-night-vocabulary,"Spanish Date Night Vocabulary",src/content/articles/no/es/spanish-date-night-vocabulary.mdx
17,no,es,7,phrases-list,romantic-spanish-phrases-for-every-occasion,"Romantic Spanish Phrases for Every Occasion",src/content/articles/no/es/romantic-spanish-phrases-for-every-occasion.mdx
18,no,es,8,grammar-guide,spanish-pronunciation-guide-for-beginners,"Spanish Pronunciation Guide for Beginners",src/content/articles/no/es/spanish-pronunciation-guide-for-beginners.mdx
19,no,es,9,grammar-guide,spanish-grammar-basics-for-beginners,"Spanish Grammar Basics for Beginners",src/content/articles/no/es/spanish-grammar-basics-for-beginners.mdx
20,no,es,10,comparison,is-spanish-hard-to-learn,"Is Spanish Hard to Learn?",src/content/articles/no/es/is-spanish-hard-to-learn.mdx
21,no,fr,1,how-to-say,how-to-say-i-love-you-in-french,"How to Say I Love You in French",src/content/articles/no/fr/how-to-say-i-love-you-in-french.mdx
22,no,fr,2,phrases-list,french-pet-names-for-your-partner,"French Pet Names for Your Partner",src/content/articles/no/fr/french-pet-names-for-your-partner.mdx
23,no,fr,3,phrases-list,essential-french-phrases-for-couples,"Essential French Phrases for Couples",src/content/articles/no/fr/essential-french-phrases-for-couples.mdx
24,no,fr,4,practical-guide,meeting-your-partners-french-family,"Meeting Your Partner's French Family",src/content/articles/no/fr/meeting-your-partners-french-family.mdx
25,no,fr,5,phrases-list,french-greetings-and-farewells,"French Greetings and Farewells",src/content/articles/no/fr/french-greetings-and-farewells.mdx
26,no,fr,6,phrases-list,french-date-night-vocabulary,"French Date Night Vocabulary",src/content/articles/no/fr/french-date-night-vocabulary.mdx
27,no,fr,7,phrases-list,romantic-french-phrases-for-every-occasion,"Romantic French Phrases for Every Occasion",src/content/articles/no/fr/romantic-french-phrases-for-every-occasion.mdx
28,no,fr,8,grammar-guide,french-pronunciation-guide-for-beginners,"French Pronunciation Guide for Beginners",src/content/articles/no/fr/french-pronunciation-guide-for-beginners.mdx
29,no,fr,9,grammar-guide,french-grammar-basics-for-beginners,"French Grammar Basics for Beginners",src/content/articles/no/fr/french-grammar-basics-for-beginners.mdx
30,no,fr,10,comparison,is-french-hard-to-learn,"Is French Hard to Learn?",src/content/articles/no/fr/is-french-hard-to-learn.mdx
31,no,de,1,how-to-say,how-to-say-i-love-you-in-german,"How to Say I Love You in German",src/content/articles/no/de/how-to-say-i-love-you-in-german.mdx
32,no,de,2,phrases-list,german-pet-names-for-your-partner,"German Pet Names for Your Partner",src/content/articles/no/de/german-pet-names-for-your-partner.mdx
33,no,de,3,phrases-list,essential-german-phrases-for-couples,"Essential German Phrases for Couples",src/content/articles/no/de/essential-german-phrases-for-couples.mdx
34,no,de,4,practical-guide,meeting-your-partners-german-family,"Meeting Your Partner's German Family",src/content/articles/no/de/meeting-your-partners-german-family.mdx
