task_id,native_lang,target_lang,topic_id,template,slug,title,output_path
1,fr,en,1,how-to-say,how-to-say-i-love-you-in-english,"How to Say I Love You in English",src/content/articles/fr/en/how-to-say-i-love-you-in-english.mdx
2,fr,en,2,phrases-list,english-pet-names-for-your-partner,"English Pet Names for Your Partner",src/content/articles/fr/en/english-pet-names-for-your-partner.mdx
3,fr,en,3,phrases-list,essential-english-phrases-for-couples,"Essential English Phrases for Couples",src/content/articles/fr/en/essential-english-phrases-for-couples.mdx
4,fr,en,4,practical-guide,meeting-your-partners-english-family,"Meeting Your Partner's English Family",src/content/articles/fr/en/meeting-your-partners-english-family.mdx
5,fr,en,5,phrases-list,english-greetings-and-farewells,"English Greetings and Farewells",src/content/articles/fr/en/english-greetings-and-farewells.mdx
6,fr,en,6,phrases-list,english-date-night-vocabulary,"English Date Night Vocabulary",src/content/articles/fr/en/english-date-night-vocabulary.mdx
7,fr,en,7,phrases-list,romantic-english-phrases-for-every-occasion,"Romantic English Phrases for Every Occasion",src/content/articles/fr/en/romantic-english-phrases-for-every-occasion.mdx
8,fr,en,8,grammar-guide,english-pronunciation-guide-for-beginners,"English Pronunciation Guide for Beginners",src/content/articles/fr/en/english-pronunciation-guide-for-beginners.mdx
9,fr,en,9,grammar-guide,english-grammar-basics-for-beginners,"English Grammar Basics for Beginners",src/content/articles/fr/en/english-grammar-basics-for-beginners.mdx
10,fr,en,10,comparison,is-english-hard-to-learn,"Is English Hard to Learn?",src/content/articles/fr/en/is-english-hard-to-learn.mdx
11,fr,es,1,how-to-say,how-to-say-i-love-you-in-spanish,"How to Say I Love You in Spanish",src/content/articles/fr/es/how-to-say-i-love-you-in-spanish.mdx
12,fr,es,2,phrases-list,spanish-pet-names-for-your-partner,"Spanish Pet Names for Your Partner",src/content/articles/fr/es/spanish-pet-names-for-your-partner.mdx
13,fr,es,3,phrases-list,essential-spanish-phrases-for-couples,"Essential Spanish Phrases for Couples",src/content/articles/fr/es/essential-spanish-phrases-for-couples.mdx
14,fr,es,4,practical-guide,meeting-your-partners-spanish-family,"Meeting Your Partner's Spanish Family",src/content/articles/fr/es/meeting-your-partners-spanish-family.mdx
15,fr,es,5,phrases-list,spanish-greetings-and-farewells,"Spanish Greetings and Farewells",src/content/articles/fr/es/spanish-greetings-and-farewells.mdx
16,fr,es,6,phrases-list,spanish-date-night-vocabulary,"Spanish Date Night Vocabulary",src/content/articles/fr/es/spanish-date-night-vocabulary.mdx
17,fr,es,7,phrases-list,romantic-spanish-phrases-for-every-occasion,"Romantic Spanish Phrases for Every Occasion",src/content/articles/fr/es/romantic-spanish-phrases-for-every-occasion.mdx
18,fr,es,8,grammar-guide,spanish-pronunciation-guide-for-beginners,"Spanish Pronunciation Guide for Beginners",src/content/articles/fr/es/spanish-pronunciation-guide-for-beginners.mdx
19,fr,es,9,grammar-guide,spanish-grammar-basics-for-beginners,"Spanish Grammar Basics for Beginners",src/content/articles/fr/es/spanish-grammar-basics-for-beginners.mdx
20,fr,es,10,comparison,is-spanish-hard-to-learn,"Is Spanish Hard to Learn?",src/content/articles/fr/es/is-spanish-hard-to-learn.mdx
