task_id,native_lang,target_lang,topic_id,template,slug,title,output_path
1,cs,en,1,how-to-say,how-to-say-i-love-you-in-english,"How to Say I Love You in English",src/content/articles/cs/en/how-to-say-i-love-you-in-english.mdx
2,cs,en,2,phrases-list,english-pet-names-for-your-partner,"English Pet Names for Your Partner",src/content/articles/cs/en/english-pet-names-for-your-partner.mdx
3,cs,en,3,phrases-list,essential-english-phrases-for-couples,"Essential English Phrases for Couples",src/content/articles/cs/en/essential-english-phrases-for-couples.mdx
4,cs,en,4,practical-guide,meeting-your-partners-english-family,"Meeting Your Partner's English Family",src/content/articles/cs/en/meeting-your-partners-english-family.mdx
5,cs,en,5,phrases-list,english-greetings-and-farewells,"English Greetings and Farewells",src/content/articles/cs/en/english-greetings-and-farewells.mdx
6,cs,en,6,phrases-list,english-date-night-vocabulary,"English Date Night Vocabulary",src/content/articles/cs/en/english-date-night-vocabulary.mdx
7,cs,en,7,phrases-list,romantic-english-phrases-for-every-occasion,"Romantic English Phrases for Every Occasion",src/content/articles/cs/en/romantic-english-phrases-for-every-occasion.mdx
8,cs,en,8,grammar-guide,english-pronunciation-guide-for-beginners,"English Pronunciation Guide for Beginners",src/content/articles/cs/en/english-pronunciation-guide-for-beginners.mdx
9,cs,en,9,grammar-guide,english-grammar-basics-for-beginners,"English Grammar Basics for Beginners",src/content/articles/cs/en/english-grammar-basics-for-beginners.mdx
10,cs,en,10,comparison,is-english-hard-to-learn,"Is English Hard to Learn?",src/content/articles/cs/en/is-english-hard-to-learn.mdx
11,cs,es,1,how-to-say,how-to-say-i-love-you-in-spanish,"How to Say I Love You in Spanish",src/content/articles/cs/es/how-to-say-i-love-you-in-spanish.mdx
12,cs,es,2,phrases-list,spanish-pet-names-for-your-partner,"Spanish Pet Names for Your Partner",src/content/articles/cs/es/spanish-pet-names-for-your-partner.mdx
13,cs,es,3,phrases-list,essential-spanish-phrases-for-couples,"Essential Spanish Phrases for Couples",src/content/articles/cs/es/essential-spanish-phrases-for-couples.mdx
14,cs,es,4,practical-guide,meeting-your-partners-spanish-family,"Meeting Your Partner's Spanish Family",src/content/articles/cs/es/meeting-your-partners-spanish-family.mdx
15,cs,es,5,phrases-list,spanish-greetings-and-farewells,"Spanish Greetings and Farewells",src/content/articles/cs/es/spanish-greetings-and-farewells.mdx
16,cs,es,6,phrases-list,spanish-date-night-vocabulary,"Spanish Date Night Vocabulary",src/content/articles/cs/es/spanish-date-night-vocabulary.mdx
17,cs,es,7,phrases-list,romantic-spanish-phrases-for-every-occasion,"Romantic Spanish Phrases for Every Occasion",src/content/articles/cs/es/romantic-spanish-phrases-for-every-occasion.mdx
18,cs,es,8,grammar-guide,spanish-pronunciation-guide-for-beginners,"Spanish Pronunciation Guide for Beginners",src/content/articles/cs/es/spanish-pronunciation-guide-for-beginners.mdx
19,cs,es,9,grammar-guide,spanish-grammar-basics-for-beginners,"Spanish Grammar Basics for Beginners",src/content/articles/cs/es/spanish-grammar-basics-for-beginners.mdx
20,cs,es,10,comparison,is-spanish-hard-to-learn,"Is Spanish Hard to Learn?",src/content/articles/cs/es/is-spanish-hard-to-learn.mdx
21,cs,fr,1,how-to-say,how-to-say-i-love-you-in-french,"How to Say I Love You in French",src/content/articles/cs/fr/how-to-say-i-love-you-in-french.mdx
22,cs,fr,2,phrases-list,french-pet-names-for-your-partner,"French Pet Names for Your Partner",src/content/articles/cs/fr/french-pet-names-for-your-partner.mdx
23,cs,fr,3,phrases-list,essential-french-phrases-for-couples,"Essential French Phrases for Couples",src/content/articles/cs/fr/essential-french-phrases-for-couples.mdx
24,cs,fr,4,practical-guide,meeting-your-partners-french-family,"Meeting Your Partner's French Family",src/content/articles/cs/fr/meeting-your-partners-french-family.mdx
25,cs,fr,5,phrases-list,french-greetings-and-farewells,"French Greetings and Farewells",src/content/articles/cs/fr/french-greetings-and-farewells.mdx
26,cs,fr,6,phrases-list,french-date-night-vocabulary,"French Date Night Vocabulary",src/content/articles/cs/fr/french-date-night-vocabulary.mdx
27,cs,fr,7,phrases-list,romantic-french-phrases-for-every-occasion,"Romantic French Phrases for Every Occasion",src/content/articles/cs/fr/romantic-french-phrases-for-every-occasion.mdx
28,cs,fr,8,grammar-guide,french-pronunciation-guide-for-beginners,"French Pronunciation Guide for Beginners",src/content/articles/cs/fr/french-pronunciation-guide-for-beginners.mdx
29,cs,fr,9,grammar-guide,french-grammar-basics-for-beginners,"French Grammar Basics for Beginners",src/content/articles/cs/fr/french-grammar-basics-for-beginners.mdx
30,cs,fr,10,comparison,is-french-hard-to-learn,"Is French Hard to Learn?",src/content/articles/cs/fr/is-french-hard-to-learn.mdx
31,cs,de,1,how-to-say,how-to-say-i-love-you-in-german,"How to Say I Love You in German",src/content/articles/cs/de/how-to-say-i-love-you-in-german.mdx
32,cs,de,2,phrases-list,german-pet-names-for-your-partner,"German Pet Names for Your Partner",src/content/articles/cs/de/german-pet-names-for-your-partner.mdx
33,cs,de,3,phrases-list,essential-german-phrases-for-couples,"Essential German Phrases for Couples",src/content/articles/cs/de/essential-german-phrases-for-couples.mdx
34,cs,de,4,practical-guide,meeting-your-partners-german-family,"Meeting Your Partner's German Family",src/content/articles/cs/de/meeting-your-partners-german-family.mdx
35,cs,de,5,phrases-list,german-greetings-and-farewells,"German Greetings and Farewells",src/content/articles/cs/de/german-greetings-and-farewells.mdx
36,cs,de,6,phrases-list,german-date-night-vocabulary,"German Date Night Vocabulary",src/content/articles/cs/de/german-date-night-vocabulary.mdx
37,cs,de,7,phrases-list,romantic-german-phrases-for-every-occasion,"Romantic German Phrases for Every Occasion",src/content/articles/cs/de/romantic-german-phrases-for-every-occasion.mdx
38,cs,de,8,grammar-guide,german-pronunciation-guide-for-beginners,"German Pronunciation Guide for Beginners",src/content/articles/cs/de/german-pronunciation-guide-for-beginners.mdx
39,cs,de,9,grammar-guide,german-grammar-basics-for-beginners,"German Grammar Basics for Beginners",src/content/articles/cs/de/german-grammar-basics-for-beginners.mdx
40,cs,de,10,comparison,is-german-hard-to-learn,"Is German Hard to Learn?",src/content/articles/cs/de/is-german-hard-to-learn.mdx
41,cs,it,1,how-to-say,how-to-say-i-love-you-in-italian,"How to Say I Love You in Italian",src/content/articles/cs/it/how-to-say-i-love-you-in-italian.mdx
42,cs,it,2,phrases-list,italian-pet-names-for-your-partner,"Italian Pet Names for Your Partner",src/content/articles/cs/it/italian-pet-names-for-your-partner.mdx
43,cs,it,3,phrases-list,essential-italian-phrases-for-couples,"Essential Italian Phrases for Couples",src/content/articles/cs/it/essential-italian-phrases-for-couples.mdx
44,cs,it,4,practical-guide,meeting-your-partners-italian-family,"Meeting Your Partner's Italian Family",src/content/articles/cs/it/meeting-your-partners-italian-family.mdx
45,cs,it,5,phrases-list,italian-greetings-and-farewells,"Italian Greetings and Farewells",src/content/articles/cs/it/italian-greetings-and-farewells.mdx
46,cs,it,6,phrases-list,italian-date-night-vocabulary,"Italian Date Night Vocabulary",src/content/articles/cs/it/italian-date-night-vocabulary.mdx
47,cs,it,7,phrases-list,romantic-italian-phrases-for-every-occasion,"Romantic Italian Phrases for Every Occasion",src/content/articles/cs/it/romantic-italian-phrases-for-every-occasion.mdx
48,cs,it,8,grammar-guide,italian-pronunciation-guide-for-beginners,"Italian Pronunciation Guide for Beginners",src/content/articles/cs/it/italian-pronunciation-guide-for-beginners.mdx
49,cs,it,9,grammar-guide,italian-grammar-basics-for-beginners,"Italian Grammar Basics for Beginners",src/content/articles/cs/it/italian-grammar-basics-for-beginners.mdx
50,cs,it,10,comparison,is-italian-hard-to-learn,"Is Italian Hard to Learn?",src/content/articles/cs/it/is-italian-hard-to-learn.mdx
51,cs,pt,1,how-to-say,how-to-say-i-love-you-in-portuguese,"How to Say I Love You in Portuguese",src/content/articles/cs/pt/how-to-say-i-love-you-in-portuguese.mdx
52,cs,pt,2,phrases-list,portuguese-pet-names-for-your-partner,"Portuguese Pet Names for Your Partner",src/content/articles/cs/pt/portuguese-pet-names-for-your-partner.mdx
53,cs,pt,3,phrases-list,essential-portuguese-phrases-for-couples,"Essential Portuguese Phrases for Couples",src/content/articles/cs/pt/essential-portuguese-phrases-for-couples.mdx
54,cs,pt,4,practical-guide,meeting-your-partners-portuguese-family,"Meeting Your Partner's Portuguese Family",src/content/articles/cs/pt/meeting-your-partners-portuguese-family.mdx
55,cs,pt,5,phrases-list,portuguese-greetings-and-farewells,"Portuguese Greetings and Farewells",src/content/articles/cs/pt/portuguese-greetings-and-farewells.mdx
56,cs,pt,6,phrases-list,portuguese-date-night-vocabulary,"Portuguese Date Night Vocabulary",src/content/articles/cs/pt/portuguese-date-night-vocabulary.mdx
57,cs,pt,7,phrases-list,romantic-portuguese-phrases-for-every-occasion,"Romantic Portuguese Phrases for Every Occasion",src/content/articles/cs/pt/romantic-portuguese-phrases-for-every-occasion.mdx
58,cs,pt,8,grammar-guide,portuguese-pronunciation-guide-for-beginners,"Portuguese Pronunciation Guide for Beginners",src/content/articles/cs/pt/portuguese-pronunciation-guide-for-beginners.mdx
59,cs,pt,9,grammar-guide,portuguese-grammar-basics-for-beginners,"Portuguese Grammar Basics for Beginners",src/content/articles/cs/pt/portuguese-grammar-basics-for-beginners.mdx
60,cs,pt,10,comparison,is-portuguese-hard-to-learn,"Is Portuguese Hard to Learn?",src/content/articles/cs/pt/is-portuguese-hard-to-learn.mdx
61,cs,nl,1,how-to-say,how-to-say-i-love-you-in-dutch,"How to Say I Love You in Dutch",src/content/articles/cs/nl/how-to-say-i-love-you-in-dutch.mdx
62,cs,nl,2,phrases-list,dutch-pet-names-for-your-partner,"Dutch Pet Names for Your Partner",src/content/articles/cs/nl/dutch-pet-names-for-your-partner.mdx
63,cs,nl,3,phrases-list,essential-dutch-phrases-for-couples,"Essential Dutch Phrases for Couples",src/content/articles/cs/nl/essential-dutch-phrases-for-couples.mdx
64,cs,nl,4,practical-guide,meeting-your-partners-dutch-family,"Meeting Your Partner's Dutch Family",src/content/articles/cs/nl/meeting-your-partners-dutch-family.mdx
65,cs,nl,5,phrases-list,dutch-greetings-and-farewells,"Dutch Greetings and Farewells",src/content/articles/cs/nl/dutch-greetings-and-farewells.mdx
66,cs,nl,6,phrases-list,dutch-date-night-vocabulary,"Dutch Date Night Vocabulary",src/content/articles/cs/nl/dutch-date-night-vocabulary.mdx
67,cs,nl,7,phrases-list,romantic-dutch-phrases-for-every-occasion,"Romantic Dutch Phrases for Every Occasion",src/content/articles/cs/nl/romantic-dutch-phrases-for-every-occasion.mdx
68,cs,nl,8,grammar-guide,dutch-pronunciation-guide-for-beginners,"Dutch Pronunciation Guide for Beginners",src/content/articles/cs/nl/dutch-pronunciation-guide-for-beginners.mdx
69,cs,nl,9,grammar-guide,dutch-grammar-basics-for-beginners,"Dutch Grammar Basics for Beginners",src/content/articles/cs/nl/dutch-grammar-basics-for-beginners.mdx
70,cs,nl,10,comparison,is-dutch-hard-to-learn,"Is Dutch Hard to Learn?",src/content/articles/cs/nl/is-dutch-hard-to-learn.mdx
71,cs,pl,1,how-to-say,how-to-say-i-love-you-in-polish,"How to Say I Love You in Polish",src/content/articles/cs/pl/how-to-say-i-love-you-in-polish.mdx
72,cs,pl,2,phrases-list,polish-pet-names-for-your-partner,"Polish Pet Names for Your Partner",src/content/articles/cs/pl/polish-pet-names-for-your-partner.mdx
73,cs,pl,3,phrases-list,essential-polish-phrases-for-couples,"Essential Polish Phrases for Couples",src/content/articles/cs/pl/essential-polish-phrases-for-couples.mdx
74,cs,pl,4,practical-guide,meeting-your-partners-polish-family,"Meeting Your Partner's Polish Family",src/content/articles/cs/pl/meeting-your-partners-polish-family.mdx
75,cs,pl,5,phrases-list,polish-greetings-and-farewells,"Polish Greetings and Farewells",src/content/articles/cs/pl/polish-greetings-and-farewells.mdx
76,cs,pl,6,phrases-list,polish-date-night-vocabulary,"Polish Date Night Vocabulary",src/content/articles/cs/pl/polish-date-night-vocabulary.mdx
77,cs,pl,7,phrases-list,romantic-polish-phrases-for-every-occasion,"Romantic Polish Phrases for Every Occasion",src/content/articles/cs/pl/romantic-polish-phrases-for-every-occasion.mdx
78,cs,pl,8,grammar-guide,polish-pronunciation-guide-for-beginners,"Polish Pronunciation Guide for Beginners",src/content/articles/cs/pl/polish-pronunciation-guide-for-beginners.mdx
79,cs,pl,9,grammar-guide,polish-grammar-basics-for-beginners,"Polish Grammar Basics for Beginners",src/content/articles/cs/pl/polish-grammar-basics-for-beginners.mdx
80,cs,pl,10,comparison,is-polish-hard-to-learn,"Is Polish Hard to Learn?",src/content/articles/cs/pl/is-polish-hard-to-learn.mdx
81,cs,ru,1,how-to-say,how-to-say-i-love-you-in-russian,"How to Say I Love You in Russian",src/content/articles/cs/ru/how-to-say-i-love-you-in-russian.mdx
82,cs,ru,2,phrases-list,russian-pet-names-for-your-partner,"Russian Pet Names for Your Partner",src/content/articles/cs/ru/russian-pet-names-for-your-partner.mdx
83,cs,ru,3,phrases-list,essential-russian-phrases-for-couples,"Essential Russian Phrases for Couples",src/content/articles/cs/ru/essential-russian-phrases-for-couples.mdx
84,cs,ru,4,practical-guide,meeting-your-partners-russian-family,"Meeting Your Partner's Russian Family",src/content/articles/cs/ru/meeting-your-partners-russian-family.mdx
85,cs,ru,5,phrases-list,russian-greetings-and-farewells,"Russian Greetings and Farewells",src/content/articles/cs/ru/russian-greetings-and-farewells.mdx
86,cs,ru,6,phrases-list,russian-date-night-vocabulary,"Russian Date Night Vocabulary",src/content/articles/cs/ru/russian-date-night-vocabulary.mdx
87,cs,ru,7,phrases-list,romantic-russian-phrases-for-every-occasion,"Romantic Russian Phrases for Every Occasion",src/content/articles/cs/ru/romantic-russian-phrases-for-every-occasion.mdx
88,cs,ru,8,grammar-guide,russian-pronunciation-guide-for-beginners,"Russian Pronunciation Guide for Beginners",src/content/articles/cs/ru/russian-pronunciation-guide-for-beginners.mdx
89,cs,ru,9,grammar-guide,russian-grammar-basics-for-beginners,"Russian Grammar Basics for Beginners",src/content/articles/cs/ru/russian-grammar-basics-for-beginners.mdx
90,cs,ru,10,comparison,is-russian-hard-to-learn,"Is Russian Hard to Learn?",src/content/articles/cs/ru/is-russian-hard-to-learn.mdx
91,cs,uk,1,how-to-say,how-to-say-i-love-you-in-ukrainian,"How to Say I Love You in Ukrainian",src/content/articles/cs/uk/how-to-say-i-love-you-in-ukrainian.mdx
92,cs,uk,2,phrases-list,ukrainian-pet-names-for-your-partner,"Ukrainian Pet Names for Your Partner",src/content/articles/cs/uk/ukrainian-pet-names-for-your-partner.mdx
93,cs,uk,3,phrases-list,essential-ukrainian-phrases-for-couples,"Essential Ukrainian Phrases for Couples",src/content/articles/cs/uk/essential-ukrainian-phrases-for-couples.mdx
94,cs,uk,4,practical-guide,meeting-your-partners-ukrainian-family,"Meeting Your Partner's Ukrainian Family",src/content/articles/cs/uk/meeting-your-partners-ukrainian-family.mdx
95,cs,uk,5,phrases-list,ukrainian-greetings-and-farewells,"Ukrainian Greetings and Farewells",src/content/articles/cs/uk/ukrainian-greetings-and-farewells.mdx
96,cs,uk,6,phrases-list,ukrainian-date-night-vocabulary,"Ukrainian Date Night Vocabulary",src/content/articles/cs/uk/ukrainian-date-night-vocabulary.mdx
