task_id,native_lang,target_lang,topic_id,template,slug,title,output_path
1,de,en,1,how-to-say,how-to-say-i-love-you-in-english,"How to Say I Love You in English",src/content/articles/de/en/how-to-say-i-love-you-in-english.mdx
2,de,en,2,phrases-list,english-pet-names-for-your-partner,"English Pet Names for Your Partner",src/content/articles/de/en/english-pet-names-for-your-partner.mdx
3,de,en,3,phrases-list,essential-english-phrases-for-couples,"Essential English Phrases for Couples",src/content/articles/de/en/essential-english-phrases-for-couples.mdx
4,de,en,4,practical-guide,meeting-your-partners-english-family,"Meeting Your Partner's English Family",src/content/articles/de/en/meeting-your-partners-english-family.mdx
5,de,en,5,phrases-list,english-greetings-and-farewells,"English Greetings and Farewells",src/content/articles/de/en/english-greetings-and-farewells.mdx
6,de,en,6,phrases-list,english-date-night-vocabulary,"English Date Night Vocabulary",src/content/articles/de/en/english-date-night-vocabulary.mdx
7,de,en,7,phrases-list,romantic-english-phrases-for-every-occasion,"Romantic English Phrases for Every Occasion",src/content/articles/de/en/romantic-english-phrases-for-every-occasion.mdx
8,de,en,8,grammar-guide,english-pronunciation-guide-for-beginners,"English Pronunciation Guide for Beginners",src/content/articles/de/en/english-pronunciation-guide-for-beginners.mdx
9,de,en,9,grammar-guide,english-grammar-basics-for-beginners,"English Grammar Basics for Beginners",src/content/articles/de/en/english-grammar-basics-for-beginners.mdx
10,de,en,10,comparison,is-english-hard-to-learn,"Is English Hard to Learn?",src/content/articles/de/en/is-english-hard-to-learn.mdx
11,de,es,1,how-to-say,how-to-say-i-love-you-in-spanish,"How to Say I Love You in Spanish",src/content/articles/de/es/how-to-say-i-love-you-in-spanish.mdx
12,de,es,2,phrases-list,spanish-pet-names-for-your-partner,"Spanish Pet Names for Your Partner",src/content/articles/de/es/spanish-pet-names-for-your-partner.mdx
13,de,es,3,phrases-list,essential-spanish-phrases-for-couples,"Essential Spanish Phrases for Couples",src/content/articles/de/es/essential-spanish-phrases-for-couples.mdx
14,de,es,4,practical-guide,meeting-your-partners-spanish-family,"Meeting Your Partner's Spanish Family",src/content/articles/de/es/meeting-your-partners-spanish-family.mdx
15,de,es,5,phrases-list,spanish-greetings-and-farewells,"Spanish Greetings and Farewells",src/content/articles/de/es/spanish-greetings-and-farewells.mdx
16,de,es,6,phrases-list,spanish-date-night-vocabulary,"Spanish Date Night Vocabulary",src/content/articles/de/es/spanish-date-night-vocabulary.mdx
17,de,es,7,phrases-list,romantic-spanish-phrases-for-every-occasion,"Romantic Spanish Phrases for Every Occasion",src/content/articles/de/es/romantic-spanish-phrases-for-every-occasion.mdx
18,de,es,8,grammar-guide,spanish-pronunciation-guide-for-beginners,"Spanish Pronunciation Guide for Beginners",src/content/articles/de/es/spanish-pronunciation-guide-for-beginners.mdx
19,de,es,9,grammar-guide,spanish-grammar-basics-for-beginners,"Spanish Grammar Basics for Beginners",src/content/articles/de/es/spanish-grammar-basics-for-beginners.mdx
20,de,es,10,comparison,is-spanish-hard-to-learn,"Is Spanish Hard to Learn?",src/content/articles/de/es/is-spanish-hard-to-learn.mdx
21,de,fr,1,how-to-say,how-to-say-i-love-you-in-french,"How to Say I Love You in French",src/content/articles/de/fr/how-to-say-i-love-you-in-french.mdx
22,de,fr,2,phrases-list,french-pet-names-for-your-partner,"French Pet Names for Your Partner",src/content/articles/de/fr/french-pet-names-for-your-partner.mdx
23,de,fr,3,phrases-list,essential-french-phrases-for-couples,"Essential French Phrases for Couples",src/content/articles/de/fr/essential-french-phrases-for-couples.mdx
24,de,fr,4,practical-guide,meeting-your-partners-french-family,"Meeting Your Partner's French Family",src/content/articles/de/fr/meeting-your-partners-french-family.mdx
25,de,fr,5,phrases-list,french-greetings-and-farewells,"French Greetings and Farewells",src/content/articles/de/fr/french-greetings-and-farewells.mdx
26,de,fr,6,phrases-list,french-date-night-vocabulary,"French Date Night Vocabulary",src/content/articles/de/fr/french-date-night-vocabulary.mdx
27,de,fr,7,phrases-list,romantic-french-phrases-for-every-occasion,"Romantic French Phrases for Every Occasion",src/content/articles/de/fr/romantic-french-phrases-for-every-occasion.mdx
28,de,fr,8,grammar-guide,french-pronunciation-guide-for-beginners,"French Pronunciation Guide for Beginners",src/content/articles/de/fr/french-pronunciation-guide-for-beginners.mdx
29,de,fr,9,grammar-guide,french-grammar-basics-for-beginners,"French Grammar Basics for Beginners",src/content/articles/de/fr/french-grammar-basics-for-beginners.mdx
30,de,fr,10,comparison,is-french-hard-to-learn,"Is French Hard to Learn?",src/content/articles/de/fr/is-french-hard-to-learn.mdx
31,de,it,1,how-to-say,how-to-say-i-love-you-in-italian,"How to Say I Love You in Italian",src/content/articles/de/it/how-to-say-i-love-you-in-italian.mdx
32,de,it,2,phrases-list,italian-pet-names-for-your-partner,"Italian Pet Names for Your Partner",src/content/articles/de/it/italian-pet-names-for-your-partner.mdx
33,de,it,3,phrases-list,essential-italian-phrases-for-couples,"Essential Italian Phrases for Couples",src/content/articles/de/it/essential-italian-phrases-for-couples.mdx
34,de,it,4,practical-guide,meeting-your-partners-italian-family,"Meeting Your Partner's Italian Family",src/content/articles/de/it/meeting-your-partners-italian-family.mdx
35,de,it,5,phrases-list,italian-greetings-and-farewells,"Italian Greetings and Farewells",src/content/articles/de/it/italian-greetings-and-farewells.mdx
36,de,it,6,phrases-list,italian-date-night-vocabulary,"Italian Date Night Vocabulary",src/content/articles/de/it/italian-date-night-vocabulary.mdx
37,de,it,7,phrases-list,romantic-italian-phrases-for-every-occasion,"Romantic Italian Phrases for Every Occasion",src/content/articles/de/it/romantic-italian-phrases-for-every-occasion.mdx
