task_id,native_lang,target_lang,topic_id,template,slug,title,output_path
1,es,en,1,how-to-say,how-to-say-i-love-you-in-english,"How to Say I Love You in English",src/content/articles/es/en/how-to-say-i-love-you-in-english.mdx
2,es,en,2,phrases-list,english-pet-names-for-your-partner,"English Pet Names for Your Partner",src/content/articles/es/en/english-pet-names-for-your-partner.mdx
3,es,en,3,phrases-list,essential-english-phrases-for-couples,"Essential English Phrases for Couples",src/content/articles/es/en/essential-english-phrases-for-couples.mdx
4,es,en,4,practical-guide,meeting-your-partners-english-family,"Meeting Your Partner's English Family",src/content/articles/es/en/meeting-your-partners-english-family.mdx
5,es,en,5,phrases-list,english-greetings-and-farewells,"English Greetings and Farewells",src/content/articles/es/en/english-greetings-and-farewells.mdx
6,es,en,6,phrases-list,english-date-night-vocabulary,"English Date Night Vocabulary",src/content/articles/es/en/english-date-night-vocabulary.mdx
7,es,en,7,phrases-list,romantic-english-phrases-for-every-occasion,"Romantic English Phrases for Every Occasion",src/content/articles/es/en/romantic-english-phrases-for-every-occasion.mdx
8,es,en,8,grammar-guide,english-pronunciation-guide-for-beginners,"English Pronunciation Guide for Beginners",src/content/articles/es/en/english-pronunciation-guide-for-beginners.mdx
9,es,en,9,grammar-guide,english-grammar-basics-for-beginners,"English Grammar Basics for Beginners",src/content/articles/es/en/english-grammar-basics-for-beginners.mdx
10,es,en,10,comparison,is-english-hard-to-learn,"Is English Hard to Learn?",src/content/articles/es/en/is-english-hard-to-learn.mdx
11,es,fr,1,how-to-say,how-to-say-i-love-you-in-french,"How to Say I Love You in French",src/content/articles/es/fr/how-to-say-i-love-you-in-french.mdx
12,es,fr,2,phrases-list,french-pet-names-for-your-partner,"French Pet Names for Your Partner",src/content/articles/es/fr/french-pet-names-for-your-partner.mdx
13,es,fr,3,phrases-list,essential-french-phrases-for-couples,"Essential French Phrases for Couples",src/content/articles/es/fr/essential-french-phrases-for-couples.mdx
14,es,fr,4,practical-guide,meeting-your-partners-french-family,"Meeting Your Partner's French Family",src/content/articles/es/fr/meeting-your-partners-french-family.mdx
15,es,fr,5,phrases-list,french-greetings-and-farewells,"French Greetings and Farewells",src/content/articles/es/fr/french-greetings-and-farewells.mdx
16,es,fr,6,phrases-list,french-date-night-vocabulary,"French Date Night Vocabulary",src/content/articles/es/fr/french-date-night-vocabulary.mdx
17,es,fr,7,phrases-list,romantic-french-phrases-for-every-occasion,"Romantic French Phrases for Every Occasion",src/content/articles/es/fr/romantic-french-phrases-for-every-occasion.mdx
18,es,fr,8,grammar-guide,french-pronunciation-guide-for-beginners,"French Pronunciation Guide for Beginners",src/content/articles/es/fr/french-pronunciation-guide-for-beginners.mdx
19,es,fr,9,grammar-guide,french-grammar-basics-for-beginners,"French Grammar Basics for Beginners",src/content/articles/es/fr/french-grammar-basics-for-beginners.mdx
20,es,fr,10,comparison,is-french-hard-to-learn,"Is French Hard to Learn?",src/content/articles/es/fr/is-french-hard-to-learn.mdx
