task_id,native_lang,target_lang,topic_id,template,slug,title,output_path
1,el,en,1,how-to-say,how-to-say-i-love-you-in-english,"How to Say I Love You in English",src/content/articles/el/en/how-to-say-i-love-you-in-english.mdx
2,el,en,2,phrases-list,english-pet-names-for-your-partner,"English Pet Names for Your Partner",src/content/articles/el/en/english-pet-names-for-your-partner.mdx
3,el,en,3,phrases-list,essential-english-phrases-for-couples,"Essential English Phrases for Couples",src/content/articles/el/en/essential-english-phrases-for-couples.mdx
4,el,en,4,practical-guide,meeting-your-partners-english-family,"Meeting Your Partner's English Family",src/content/articles/el/en/meeting-your-partners-english-family.mdx
5,el,en,5,phrases-list,english-greetings-and-farewells,"English Greetings and Farewells",src/content/articles/el/en/english-greetings-and-farewells.mdx
6,el,en,6,phrases-list,english-date-night-vocabulary,"English Date Night Vocabulary",src/content/articles/el/en/english-date-night-vocabulary.mdx
7,el,en,7,phrases-list,romantic-english-phrases-for-every-occasion,"Romantic English Phrases for Every Occasion",src/content/articles/el/en/romantic-english-phrases-for-every-occasion.mdx
8,el,en,8,grammar-guide,english-pronunciation-guide-for-beginners,"English Pronunciation Guide for Beginners",src/content/articles/el/en/english-pronunciation-guide-for-beginners.mdx
9,el,en,9,grammar-guide,english-grammar-basics-for-beginners,"English Grammar Basics for Beginners",src/content/articles/el/en/english-grammar-basics-for-beginners.mdx
10,el,en,10,comparison,is-english-hard-to-learn,"Is English Hard to Learn?",src/content/articles/el/en/is-english-hard-to-learn.mdx
11,el,es,1,how-to-say,how-to-say-i-love-you-in-spanish,"How to Say I Love You in Spanish",src/content/articles/el/es/how-to-say-i-love-you-in-spanish.mdx
12,el,es,2,phrases-list,spanish-pet-names-for-your-partner,"Spanish Pet Names for Your Partner",src/content/articles/el/es/spanish-pet-names-for-your-partner.mdx
13,el,es,3,phrases-list,essential-spanish-phrases-for-couples,"Essential Spanish Phrases for Couples",src/content/articles/el/es/essential-spanish-phrases-for-couples.mdx
14,el,es,4,practical-guide,meeting-your-partners-spanish-family,"Meeting Your Partner's Spanish Family",src/content/articles/el/es/meeting-your-partners-spanish-family.mdx
15,el,es,5,phrases-list,spanish-greetings-and-farewells,"Spanish Greetings and Farewells",src/content/articles/el/es/spanish-greetings-and-farewells.mdx
16,el,es,6,phrases-list,spanish-date-night-vocabulary,"Spanish Date Night Vocabulary",src/content/articles/el/es/spanish-date-night-vocabulary.mdx
17,el,es,7,phrases-list,romantic-spanish-phrases-for-every-occasion,"Romantic Spanish Phrases for Every Occasion",src/content/articles/el/es/romantic-spanish-phrases-for-every-occasion.mdx
18,el,es,8,grammar-guide,spanish-pronunciation-guide-for-beginners,"Spanish Pronunciation Guide for Beginners",src/content/articles/el/es/spanish-pronunciation-guide-for-beginners.mdx
19,el,es,9,grammar-guide,spanish-grammar-basics-for-beginners,"Spanish Grammar Basics for Beginners",src/content/articles/el/es/spanish-grammar-basics-for-beginners.mdx
20,el,es,10,comparison,is-spanish-hard-to-learn,"Is Spanish Hard to Learn?",src/content/articles/el/es/is-spanish-hard-to-learn.mdx
21,el,fr,1,how-to-say,how-to-say-i-love-you-in-french,"How to Say I Love You in French",src/content/articles/el/fr/how-to-say-i-love-you-in-french.mdx
22,el,fr,2,phrases-list,french-pet-names-for-your-partner,"French Pet Names for Your Partner",src/content/articles/el/fr/french-pet-names-for-your-partner.mdx
23,el,fr,3,phrases-list,essential-french-phrases-for-couples,"Essential French Phrases for Couples",src/content/articles/el/fr/essential-french-phrases-for-couples.mdx
24,el,fr,4,practical-guide,meeting-your-partners-french-family,"Meeting Your Partner's French Family",src/content/articles/el/fr/meeting-your-partners-french-family.mdx
25,el,fr,5,phrases-list,french-greetings-and-farewells,"French Greetings and Farewells",src/content/articles/el/fr/french-greetings-and-farewells.mdx
26,el,fr,6,phrases-list,french-date-night-vocabulary,"French Date Night Vocabulary",src/content/articles/el/fr/french-date-night-vocabulary.mdx
27,el,fr,7,phrases-list,romantic-french-phrases-for-every-occasion,"Romantic French Phrases for Every Occasion",src/content/articles/el/fr/romantic-french-phrases-for-every-occasion.mdx
28,el,fr,8,grammar-guide,french-pronunciation-guide-for-beginners,"French Pronunciation Guide for Beginners",src/content/articles/el/fr/french-pronunciation-guide-for-beginners.mdx
