native,target,topic,template
sv,es,How to Say I Love You,how-to-say
sv,de,How to Say I Love You,how-to-say
sv,it,50 Romantic Phrases for Every Occasion,phrases-list
sv,nl,Meeting Your Partner's Family,practical-guide
sv,ru,How to Say I Love You,how-to-say
sv,ru,50 Pet Names and Terms of Endearment,phrases-list
sv,da,How to Say I Love You,how-to-say
sv,da,50 Pet Names and Terms of Endearment,phrases-list
sv,cs,How to Say I Love You,how-to-say
sv,cs,Meeting Your Partner's Family,practical-guide
sv,cs,Date Night Vocabulary,phrases-list
sv,el,Meeting Your Partner's Family,practical-guide
sv,el,Grammar Basics for Beginners,grammar-guide
no,fr,50 Pet Names and Terms of Endearment,phrases-list
no,it,How to Say I Love You,how-to-say
no,pt,Greetings and Farewells,phrases-list
no,uk,How to Say I Love You,how-to-say
no,uk,50 Pet Names and Terms of Endearment,phrases-list
no,ro,How to Say I Love You,how-to-say
no,sv,50 Pet Names and Terms of Endearment,phrases-list
no,el,Grammar Basics for Beginners,grammar-guide
no,hu,How to Say I Love You,how-to-say
da,fr,Date Night Vocabulary,phrases-list
da,de,Meeting Your Partner's Family,practical-guide
da,it,Date Night Vocabulary,phrases-list
da,pl,50 Pet Names and Terms of Endearment,phrases-list
da,pl,Essential Phrases for Couples,phrases-list
da,tr,Date Night Vocabulary,phrases-list
da,ro,How to Say I Love You,how-to-say
da,ro,50 Pet Names and Terms of Endearment,phrases-list
da,ro,Meeting Your Partner's Family,practical-guide
da,sv,How to Say I Love You,how-to-say
da,no,Essential Phrases for Couples,phrases-list
da,no,Greetings and Farewells,phrases-list
da,el,How to Say I Love You,how-to-say
cs,es,Meeting Your Partner's Family,practical-guide
cs,es,Date Night Vocabulary,phrases-list
cs,fr,50 Pet Names and Terms of Endearment,phrases-list
cs,de,50 Pet Names and Terms of Endearment,phrases-list
cs,it,50 Pet Names and Terms of Endearment,phrases-list
cs,it,Date Night Vocabulary,phrases-list
cs,it,Pronunciation Guide for Beginners,grammar-guide
cs,pt,How to Say I Love You,how-to-say
cs,pl,50 Pet Names and Terms of Endearment,phrases-list
cs,ru,50 Pet Names and Terms of Endearment,phrases-list
cs,uk,50 Pet Names and Terms of Endearment,phrases-list
cs,tr,Meeting Your Partner's Family,practical-guide
cs,tr,Greetings and Farewells,phrases-list
cs,ro,Meeting Your Partner's Family,practical-guide
cs,sv,How to Say I Love You,how-to-say
cs,el,50 Pet Names and Terms of Endearment,phrases-list
el,de,50 Pet Names and Terms of Endearment,phrases-list
el,de,Meeting Your Partner's Family,practical-guide
el,it,50 Pet Names and Terms of Endearment,phrases-list
el,it,Date Night Vocabulary,phrases-list
el,pt,Is This Language Hard to Learn?,comparison
el,uk,50 Pet Names and Terms of Endearment,phrases-list
el,ro,50 Pet Names and Terms of Endearment,phrases-list
el,no,Date Night Vocabulary,phrases-list
el,hu,Grammar Basics for Beginners,grammar-guide
hu,en,Greetings and Farewells,phrases-list
hu,de,How to Say I Love You,how-to-say
hu,nl,How to Say I Love You,how-to-say
hu,sv,50 Pet Names and Terms of Endearment,phrases-list
hu,da,How to Say I Love You,how-to-say
hu,cs,How to Say I Love You,how-to-say
hu,el,How to Say I Love You,how-to-say
