task_id,native_lang,target_lang,topic_id,template,slug,title,output_path
1,pl,en,1,how-to-say,how-to-say-i-love-you-in-english,"How to Say I Love You in English",src/content/articles/pl/en/how-to-say-i-love-you-in-english.mdx
2,pl,en,2,phrases-list,english-pet-names-for-your-partner,"English Pet Names for Your Partner",src/content/articles/pl/en/english-pet-names-for-your-partner.mdx
3,pl,en,3,phrases-list,essential-english-phrases-for-couples,"Essential English Phrases for Couples",src/content/articles/pl/en/essential-english-phrases-for-couples.mdx
4,pl,en,4,practical-guide,meeting-your-partners-english-family,"Meeting Your Partner's English Family",src/content/articles/pl/en/meeting-your-partners-english-family.mdx
5,pl,en,5,phrases-list,english-greetings-and-farewells,"English Greetings and Farewells",src/content/articles/pl/en/english-greetings-and-farewells.mdx
6,pl,en,6,phrases-list,english-date-night-vocabulary,"English Date Night Vocabulary",src/content/articles/pl/en/english-date-night-vocabulary.mdx
7,pl,en,7,phrases-list,romantic-english-phrases-for-every-occasion,"Romantic English Phrases for Every Occasion",src/content/articles/pl/en/romantic-english-phrases-for-every-occasion.mdx
8,pl,en,8,grammar-guide,english-pronunciation-guide-for-beginners,"English Pronunciation Guide for Beginners",src/content/articles/pl/en/english-pronunciation-guide-for-beginners.mdx
9,pl,en,9,grammar-guide,english-grammar-basics-for-beginners,"English Grammar Basics for Beginners",src/content/articles/pl/en/english-grammar-basics-for-beginners.mdx
10,pl,en,10,comparison,is-english-hard-to-learn,"Is English Hard to Learn?",src/content/articles/pl/en/is-english-hard-to-learn.mdx
11,pl,es,1,how-to-say,how-to-say-i-love-you-in-spanish,"How to Say I Love You in Spanish",src/content/articles/pl/es/how-to-say-i-love-you-in-spanish.mdx
12,pl,es,2,phrases-list,spanish-pet-names-for-your-partner,"Spanish Pet Names for Your Partner",src/content/articles/pl/es/spanish-pet-names-for-your-partner.mdx
13,pl,es,3,phrases-list,essential-spanish-phrases-for-couples,"Essential Spanish Phrases for Couples",src/content/articles/pl/es/essential-spanish-phrases-for-couples.mdx
14,pl,es,4,practical-guide,meeting-your-partners-spanish-family,"Meeting Your Partner's Spanish Family",src/content/articles/pl/es/meeting-your-partners-spanish-family.mdx
15,pl,es,5,phrases-list,spanish-greetings-and-farewells,"Spanish Greetings and Farewells",src/content/articles/pl/es/spanish-greetings-and-farewells.mdx
16,pl,es,6,phrases-list,spanish-date-night-vocabulary,"Spanish Date Night Vocabulary",src/content/articles/pl/es/spanish-date-night-vocabulary.mdx
17,pl,es,7,phrases-list,romantic-spanish-phrases-for-every-occasion,"Romantic Spanish Phrases for Every Occasion",src/content/articles/pl/es/romantic-spanish-phrases-for-every-occasion.mdx
18,pl,es,8,grammar-guide,spanish-pronunciation-guide-for-beginners,"Spanish Pronunciation Guide for Beginners",src/content/articles/pl/es/spanish-pronunciation-guide-for-beginners.mdx
19,pl,es,9,grammar-guide,spanish-grammar-basics-for-beginners,"Spanish Grammar Basics for Beginners",src/content/articles/pl/es/spanish-grammar-basics-for-beginners.mdx
20,pl,es,10,comparison,is-spanish-hard-to-learn,"Is Spanish Hard to Learn?",src/content/articles/pl/es/is-spanish-hard-to-learn.mdx
21,pl,fr,1,how-to-say,how-to-say-i-love-you-in-french,"How to Say I Love You in French",src/content/articles/pl/fr/how-to-say-i-love-you-in-french.mdx
22,pl,fr,2,phrases-list,french-pet-names-for-your-partner,"French Pet Names for Your Partner",src/content/articles/pl/fr/french-pet-names-for-your-partner.mdx
23,pl,fr,3,phrases-list,essential-french-phrases-for-couples,"Essential French Phrases for Couples",src/content/articles/pl/fr/essential-french-phrases-for-couples.mdx
24,pl,fr,4,practical-guide,meeting-your-partners-french-family,"Meeting Your Partner's French Family",src/content/articles/pl/fr/meeting-your-partners-french-family.mdx
25,pl,fr,5,phrases-list,french-greetings-and-farewells,"French Greetings and Farewells",src/content/articles/pl/fr/french-greetings-and-farewells.mdx
26,pl,fr,6,phrases-list,french-date-night-vocabulary,"French Date Night Vocabulary",src/content/articles/pl/fr/french-date-night-vocabulary.mdx
27,pl,fr,7,phrases-list,romantic-french-phrases-for-every-occasion,"Romantic French Phrases for Every Occasion",src/content/articles/pl/fr/romantic-french-phrases-for-every-occasion.mdx
28,pl,fr,8,grammar-guide,french-pronunciation-guide-for-beginners,"French Pronunciation Guide for Beginners",src/content/articles/pl/fr/french-pronunciation-guide-for-beginners.mdx
29,pl,fr,9,grammar-guide,french-grammar-basics-for-beginners,"French Grammar Basics for Beginners",src/content/articles/pl/fr/french-grammar-basics-for-beginners.mdx
30,pl,fr,10,comparison,is-french-hard-to-learn,"Is French Hard to Learn?",src/content/articles/pl/fr/is-french-hard-to-learn.mdx
31,pl,de,1,how-to-say,how-to-say-i-love-you-in-german,"How to Say I Love You in German",src/content/articles/pl/de/how-to-say-i-love-you-in-german.mdx
32,pl,de,2,phrases-list,german-pet-names-for-your-partner,"German Pet Names for Your Partner",src/content/articles/pl/de/german-pet-names-for-your-partner.mdx
33,pl,de,3,phrases-list,essential-german-phrases-for-couples,"Essential German Phrases for Couples",src/content/articles/pl/de/essential-german-phrases-for-couples.mdx
34,pl,de,4,practical-guide,meeting-your-partners-german-family,"Meeting Your Partner's German Family",src/content/articles/pl/de/meeting-your-partners-german-family.mdx
35,pl,de,5,phrases-list,german-greetings-and-farewells,"German Greetings and Farewells",src/content/articles/pl/de/german-greetings-and-farewells.mdx
36,pl,de,6,phrases-list,german-date-night-vocabulary,"German Date Night Vocabulary",src/content/articles/pl/de/german-date-night-vocabulary.mdx
37,pl,de,7,phrases-list,romantic-german-phrases-for-every-occasion,"Romantic German Phrases for Every Occasion",src/content/articles/pl/de/romantic-german-phrases-for-every-occasion.mdx
38,pl,de,8,grammar-guide,german-pronunciation-guide-for-beginners,"German Pronunciation Guide for Beginners",src/content/articles/pl/de/german-pronunciation-guide-for-beginners.mdx
39,pl,de,9,grammar-guide,german-grammar-basics-for-beginners,"German Grammar Basics for Beginners",src/content/articles/pl/de/german-grammar-basics-for-beginners.mdx
40,pl,de,10,comparison,is-german-hard-to-learn,"Is German Hard to Learn?",src/content/articles/pl/de/is-german-hard-to-learn.mdx
41,pl,it,1,how-to-say,how-to-say-i-love-you-in-italian,"How to Say I Love You in Italian",src/content/articles/pl/it/how-to-say-i-love-you-in-italian.mdx
