task_id,native_lang,target_lang,topic_id,template,slug,title,output_path
1,nl,en,1,how-to-say,how-to-say-i-love-you-in-english,"How to Say I Love You in English",src/content/articles/nl/en/how-to-say-i-love-you-in-english.mdx
2,nl,en,2,phrases-list,english-pet-names-for-your-partner,"English Pet Names for Your Partner",src/content/articles/nl/en/english-pet-names-for-your-partner.mdx
3,nl,en,3,phrases-list,essential-english-phrases-for-couples,"Essential English Phrases for Couples",src/content/articles/nl/en/essential-english-phrases-for-couples.mdx
4,nl,en,4,practical-guide,meeting-your-partners-english-family,"Meeting Your Partner's English Family",src/content/articles/nl/en/meeting-your-partners-english-family.mdx
5,nl,en,5,phrases-list,english-greetings-and-farewells,"English Greetings and Farewells",src/content/articles/nl/en/english-greetings-and-farewells.mdx
6,nl,en,6,phrases-list,english-date-night-vocabulary,"English Date Night Vocabulary",src/content/articles/nl/en/english-date-night-vocabulary.mdx
7,nl,en,7,phrases-list,romantic-english-phrases-for-every-occasion,"Romantic English Phrases for Every Occasion",src/content/articles/nl/en/romantic-english-phrases-for-every-occasion.mdx
8,nl,en,8,grammar-guide,english-pronunciation-guide-for-beginners,"English Pronunciation Guide for Beginners",src/content/articles/nl/en/english-pronunciation-guide-for-beginners.mdx
9,nl,en,9,grammar-guide,english-grammar-basics-for-beginners,"English Grammar Basics for Beginners",src/content/articles/nl/en/english-grammar-basics-for-beginners.mdx
10,nl,en,10,comparison,is-english-hard-to-learn,"Is English Hard to Learn?",src/content/articles/nl/en/is-english-hard-to-learn.mdx
11,nl,es,1,how-to-say,how-to-say-i-love-you-in-spanish,"How to Say I Love You in Spanish",src/content/articles/nl/es/how-to-say-i-love-you-in-spanish.mdx
12,nl,es,2,phrases-list,spanish-pet-names-for-your-partner,"Spanish Pet Names for Your Partner",src/content/articles/nl/es/spanish-pet-names-for-your-partner.mdx
13,nl,es,3,phrases-list,essential-spanish-phrases-for-couples,"Essential Spanish Phrases for Couples",src/content/articles/nl/es/essential-spanish-phrases-for-couples.mdx
14,nl,es,4,practical-guide,meeting-your-partners-spanish-family,"Meeting Your Partner's Spanish Family",src/content/articles/nl/es/meeting-your-partners-spanish-family.mdx
15,nl,es,5,phrases-list,spanish-greetings-and-farewells,"Spanish Greetings and Farewells",src/content/articles/nl/es/spanish-greetings-and-farewells.mdx
16,nl,es,6,phrases-list,spanish-date-night-vocabulary,"Spanish Date Night Vocabulary",src/content/articles/nl/es/spanish-date-night-vocabulary.mdx
17,nl,es,7,phrases-list,romantic-spanish-phrases-for-every-occasion,"Romantic Spanish Phrases for Every Occasion",src/content/articles/nl/es/romantic-spanish-phrases-for-every-occasion.mdx
18,nl,es,8,grammar-guide,spanish-pronunciation-guide-for-beginners,"Spanish Pronunciation Guide for Beginners",src/content/articles/nl/es/spanish-pronunciation-guide-for-beginners.mdx
19,nl,es,9,grammar-guide,spanish-grammar-basics-for-beginners,"Spanish Grammar Basics for Beginners",src/content/articles/nl/es/spanish-grammar-basics-for-beginners.mdx
20,nl,es,10,comparison,is-spanish-hard-to-learn,"Is Spanish Hard to Learn?",src/content/articles/nl/es/is-spanish-hard-to-learn.mdx
21,nl,fr,1,how-to-say,how-to-say-i-love-you-in-french,"How to Say I Love You in French",src/content/articles/nl/fr/how-to-say-i-love-you-in-french.mdx
22,nl,fr,2,phrases-list,french-pet-names-for-your-partner,"French Pet Names for Your Partner",src/content/articles/nl/fr/french-pet-names-for-your-partner.mdx
23,nl,fr,3,phrases-list,essential-french-phrases-for-couples,"Essential French Phrases for Couples",src/content/articles/nl/fr/essential-french-phrases-for-couples.mdx
24,nl,fr,4,practical-guide,meeting-your-partners-french-family,"Meeting Your Partner's French Family",src/content/articles/nl/fr/meeting-your-partners-french-family.mdx
25,nl,fr,5,phrases-list,french-greetings-and-farewells,"French Greetings and Farewells",src/content/articles/nl/fr/french-greetings-and-farewells.mdx
26,nl,fr,6,phrases-list,french-date-night-vocabulary,"French Date Night Vocabulary",src/content/articles/nl/fr/french-date-night-vocabulary.mdx
27,nl,fr,7,phrases-list,romantic-french-phrases-for-every-occasion,"Romantic French Phrases for Every Occasion",src/content/articles/nl/fr/romantic-french-phrases-for-every-occasion.mdx
28,nl,fr,8,grammar-guide,french-pronunciation-guide-for-beginners,"French Pronunciation Guide for Beginners",src/content/articles/nl/fr/french-pronunciation-guide-for-beginners.mdx
29,nl,fr,9,grammar-guide,french-grammar-basics-for-beginners,"French Grammar Basics for Beginners",src/content/articles/nl/fr/french-grammar-basics-for-beginners.mdx
30,nl,fr,10,comparison,is-french-hard-to-learn,"Is French Hard to Learn?",src/content/articles/nl/fr/is-french-hard-to-learn.mdx
31,nl,de,1,how-to-say,how-to-say-i-love-you-in-german,"How to Say I Love You in German",src/content/articles/nl/de/how-to-say-i-love-you-in-german.mdx
32,nl,de,2,phrases-list,german-pet-names-for-your-partner,"German Pet Names for Your Partner",src/content/articles/nl/de/german-pet-names-for-your-partner.mdx
33,nl,de,3,phrases-list,essential-german-phrases-for-couples,"Essential German Phrases for Couples",src/content/articles/nl/de/essential-german-phrases-for-couples.mdx
34,nl,de,4,practical-guide,meeting-your-partners-german-family,"Meeting Your Partner's German Family",src/content/articles/nl/de/meeting-your-partners-german-family.mdx
35,nl,de,5,phrases-list,german-greetings-and-farewells,"German Greetings and Farewells",src/content/articles/nl/de/german-greetings-and-farewells.mdx
36,nl,de,6,phrases-list,german-date-night-vocabulary,"German Date Night Vocabulary",src/content/articles/nl/de/german-date-night-vocabulary.mdx
37,nl,de,7,phrases-list,romantic-german-phrases-for-every-occasion,"Romantic German Phrases for Every Occasion",src/content/articles/nl/de/romantic-german-phrases-for-every-occasion.mdx
38,nl,de,8,grammar-guide,german-pronunciation-guide-for-beginners,"German Pronunciation Guide for Beginners",src/content/articles/nl/de/german-pronunciation-guide-for-beginners.mdx
39,nl,de,9,grammar-guide,german-grammar-basics-for-beginners,"German Grammar Basics for Beginners",src/content/articles/nl/de/german-grammar-basics-for-beginners.mdx
40,nl,de,10,comparison,is-german-hard-to-learn,"Is German Hard to Learn?",src/content/articles/nl/de/is-german-hard-to-learn.mdx
41,nl,it,1,how-to-say,how-to-say-i-love-you-in-italian,"How to Say I Love You in Italian",src/content/articles/nl/it/how-to-say-i-love-you-in-italian.mdx
42,nl,it,2,phrases-list,italian-pet-names-for-your-partner,"Italian Pet Names for Your Partner",src/content/articles/nl/it/italian-pet-names-for-your-partner.mdx
43,nl,it,3,phrases-list,essential-italian-phrases-for-couples,"Essential Italian Phrases for Couples",src/content/articles/nl/it/essential-italian-phrases-for-couples.mdx
44,nl,it,4,practical-guide,meeting-your-partners-italian-family,"Meeting Your Partner's Italian Family",src/content/articles/nl/it/meeting-your-partners-italian-family.mdx
45,nl,it,5,phrases-list,italian-greetings-and-farewells,"Italian Greetings and Farewells",src/content/articles/nl/it/italian-greetings-and-farewells.mdx
46,nl,it,6,phrases-list,italian-date-night-vocabulary,"Italian Date Night Vocabulary",src/content/articles/nl/it/italian-date-night-vocabulary.mdx
47,nl,it,7,phrases-list,romantic-italian-phrases-for-every-occasion,"Romantic Italian Phrases for Every Occasion",src/content/articles/nl/it/romantic-italian-phrases-for-every-occasion.mdx
48,nl,it,8,grammar-guide,italian-pronunciation-guide-for-beginners,"Italian Pronunciation Guide for Beginners",src/content/articles/nl/it/italian-pronunciation-guide-for-beginners.mdx
49,nl,it,9,grammar-guide,italian-grammar-basics-for-beginners,"Italian Grammar Basics for Beginners",src/content/articles/nl/it/italian-grammar-basics-for-beginners.mdx
50,nl,it,10,comparison,is-italian-hard-to-learn,"Is Italian Hard to Learn?",src/content/articles/nl/it/is-italian-hard-to-learn.mdx
51,nl,pt,1,how-to-say,how-to-say-i-love-you-in-portuguese,"How to Say I Love You in Portuguese",src/content/articles/nl/pt/how-to-say-i-love-you-in-portuguese.mdx
52,nl,pt,2,phrases-list,portuguese-pet-names-for-your-partner,"Portuguese Pet Names for Your Partner",src/content/articles/nl/pt/portuguese-pet-names-for-your-partner.mdx
53,nl,pt,3,phrases-list,essential-portuguese-phrases-for-couples,"Essential Portuguese Phrases for Couples",src/content/articles/nl/pt/essential-portuguese-phrases-for-couples.mdx
54,nl,pt,4,practical-guide,meeting-your-partners-portuguese-family,"Meeting Your Partner's Portuguese Family",src/content/articles/nl/pt/meeting-your-partners-portuguese-family.mdx
55,nl,pt,5,phrases-list,portuguese-greetings-and-farewells,"Portuguese Greetings and Farewells",src/content/articles/nl/pt/portuguese-greetings-and-farewells.mdx
56,nl,pt,6,phrases-list,portuguese-date-night-vocabulary,"Portuguese Date Night Vocabulary",src/content/articles/nl/pt/portuguese-date-night-vocabulary.mdx
