task_id,native_lang,target_lang,topic_id,template,slug,title,output_path
1,da,en,1,how-to-say,how-to-say-i-love-you-in-english,"How to Say I Love You in English",src/content/articles/da/en/how-to-say-i-love-you-in-english.mdx
2,da,en,2,phrases-list,english-pet-names-for-your-partner,"English Pet Names for Your Partner",src/content/articles/da/en/english-pet-names-for-your-partner.mdx
3,da,en,3,phrases-list,essential-english-phrases-for-couples,"Essential English Phrases for Couples",src/content/articles/da/en/essential-english-phrases-for-couples.mdx
4,da,en,4,practical-guide,meeting-your-partners-english-family,"Meeting Your Partner's English Family",src/content/articles/da/en/meeting-your-partners-english-family.mdx
5,da,en,5,phrases-list,english-greetings-and-farewells,"English Greetings and Farewells",src/content/articles/da/en/english-greetings-and-farewells.mdx
6,da,en,6,phrases-list,english-date-night-vocabulary,"English Date Night Vocabulary",src/content/articles/da/en/english-date-night-vocabulary.mdx
7,da,en,7,phrases-list,romantic-english-phrases-for-every-occasion,"Romantic English Phrases for Every Occasion",src/content/articles/da/en/romantic-english-phrases-for-every-occasion.mdx
8,da,en,8,grammar-guide,english-pronunciation-guide-for-beginners,"English Pronunciation Guide for Beginners",src/content/articles/da/en/english-pronunciation-guide-for-beginners.mdx
9,da,en,9,grammar-guide,english-grammar-basics-for-beginners,"English Grammar Basics for Beginners",src/content/articles/da/en/english-grammar-basics-for-beginners.mdx
10,da,en,10,comparison,is-english-hard-to-learn,"Is English Hard to Learn?",src/content/articles/da/en/is-english-hard-to-learn.mdx
11,da,es,1,how-to-say,how-to-say-i-love-you-in-spanish,"How to Say I Love You in Spanish",src/content/articles/da/es/how-to-say-i-love-you-in-spanish.mdx
12,da,es,2,phrases-list,spanish-pet-names-for-your-partner,"Spanish Pet Names for Your Partner",src/content/articles/da/es/spanish-pet-names-for-your-partner.mdx
13,da,es,3,phrases-list,essential-spanish-phrases-for-couples,"Essential Spanish Phrases for Couples",src/content/articles/da/es/essential-spanish-phrases-for-couples.mdx
14,da,es,4,practical-guide,meeting-your-partners-spanish-family,"Meeting Your Partner's Spanish Family",src/content/articles/da/es/meeting-your-partners-spanish-family.mdx
15,da,es,5,phrases-list,spanish-greetings-and-farewells,"Spanish Greetings and Farewells",src/content/articles/da/es/spanish-greetings-and-farewells.mdx
16,da,es,6,phrases-list,spanish-date-night-vocabulary,"Spanish Date Night Vocabulary",src/content/articles/da/es/spanish-date-night-vocabulary.mdx
17,da,es,7,phrases-list,romantic-spanish-phrases-for-every-occasion,"Romantic Spanish Phrases for Every Occasion",src/content/articles/da/es/romantic-spanish-phrases-for-every-occasion.mdx
18,da,es,8,grammar-guide,spanish-pronunciation-guide-for-beginners,"Spanish Pronunciation Guide for Beginners",src/content/articles/da/es/spanish-pronunciation-guide-for-beginners.mdx
19,da,es,9,grammar-guide,spanish-grammar-basics-for-beginners,"Spanish Grammar Basics for Beginners",src/content/articles/da/es/spanish-grammar-basics-for-beginners.mdx
20,da,es,10,comparison,is-spanish-hard-to-learn,"Is Spanish Hard to Learn?",src/content/articles/da/es/is-spanish-hard-to-learn.mdx
21,da,fr,1,how-to-say,how-to-say-i-love-you-in-french,"How to Say I Love You in French",src/content/articles/da/fr/how-to-say-i-love-you-in-french.mdx
22,da,fr,2,phrases-list,french-pet-names-for-your-partner,"French Pet Names for Your Partner",src/content/articles/da/fr/french-pet-names-for-your-partner.mdx
23,da,fr,3,phrases-list,essential-french-phrases-for-couples,"Essential French Phrases for Couples",src/content/articles/da/fr/essential-french-phrases-for-couples.mdx
24,da,fr,4,practical-guide,meeting-your-partners-french-family,"Meeting Your Partner's French Family",src/content/articles/da/fr/meeting-your-partners-french-family.mdx
25,da,fr,5,phrases-list,french-greetings-and-farewells,"French Greetings and Farewells",src/content/articles/da/fr/french-greetings-and-farewells.mdx
26,da,fr,6,phrases-list,french-date-night-vocabulary,"French Date Night Vocabulary",src/content/articles/da/fr/french-date-night-vocabulary.mdx
27,da,fr,7,phrases-list,romantic-french-phrases-for-every-occasion,"Romantic French Phrases for Every Occasion",src/content/articles/da/fr/romantic-french-phrases-for-every-occasion.mdx
28,da,fr,8,grammar-guide,french-pronunciation-guide-for-beginners,"French Pronunciation Guide for Beginners",src/content/articles/da/fr/french-pronunciation-guide-for-beginners.mdx
29,da,fr,9,grammar-guide,french-grammar-basics-for-beginners,"French Grammar Basics for Beginners",src/content/articles/da/fr/french-grammar-basics-for-beginners.mdx
30,da,fr,10,comparison,is-french-hard-to-learn,"Is French Hard to Learn?",src/content/articles/da/fr/is-french-hard-to-learn.mdx
31,da,de,1,how-to-say,how-to-say-i-love-you-in-german,"How to Say I Love You in German",src/content/articles/da/de/how-to-say-i-love-you-in-german.mdx
32,da,de,2,phrases-list,german-pet-names-for-your-partner,"German Pet Names for Your Partner",src/content/articles/da/de/german-pet-names-for-your-partner.mdx
33,da,de,3,phrases-list,essential-german-phrases-for-couples,"Essential German Phrases for Couples",src/content/articles/da/de/essential-german-phrases-for-couples.mdx
34,da,de,4,practical-guide,meeting-your-partners-german-family,"Meeting Your Partner's German Family",src/content/articles/da/de/meeting-your-partners-german-family.mdx
35,da,de,5,phrases-list,german-greetings-and-farewells,"German Greetings and Farewells",src/content/articles/da/de/german-greetings-and-farewells.mdx
36,da,de,6,phrases-list,german-date-night-vocabulary,"German Date Night Vocabulary",src/content/articles/da/de/german-date-night-vocabulary.mdx
37,da,de,7,phrases-list,romantic-german-phrases-for-every-occasion,"Romantic German Phrases for Every Occasion",src/content/articles/da/de/romantic-german-phrases-for-every-occasion.mdx
38,da,de,8,grammar-guide,german-pronunciation-guide-for-beginners,"German Pronunciation Guide for Beginners",src/content/articles/da/de/german-pronunciation-guide-for-beginners.mdx
39,da,de,9,grammar-guide,german-grammar-basics-for-beginners,"German Grammar Basics for Beginners",src/content/articles/da/de/german-grammar-basics-for-beginners.mdx
40,da,de,10,comparison,is-german-hard-to-learn,"Is German Hard to Learn?",src/content/articles/da/de/is-german-hard-to-learn.mdx
41,da,it,1,how-to-say,how-to-say-i-love-you-in-italian,"How to Say I Love You in Italian",src/content/articles/da/it/how-to-say-i-love-you-in-italian.mdx
42,da,it,2,phrases-list,italian-pet-names-for-your-partner,"Italian Pet Names for Your Partner",src/content/articles/da/it/italian-pet-names-for-your-partner.mdx
43,da,it,3,phrases-list,essential-italian-phrases-for-couples,"Essential Italian Phrases for Couples",src/content/articles/da/it/essential-italian-phrases-for-couples.mdx
44,da,it,4,practical-guide,meeting-your-partners-italian-family,"Meeting Your Partner's Italian Family",src/content/articles/da/it/meeting-your-partners-italian-family.mdx
