task_id,native_lang,target_lang,topic_id,template,slug,title,output_path
1,ro,en,1,how-to-say,how-to-say-i-love-you-in-english,"How to Say I Love You in English",src/content/articles/ro/en/how-to-say-i-love-you-in-english.mdx
2,ro,en,2,phrases-list,english-pet-names-for-your-partner,"English Pet Names for Your Partner",src/content/articles/ro/en/english-pet-names-for-your-partner.mdx
3,ro,en,3,phrases-list,essential-english-phrases-for-couples,"Essential English Phrases for Couples",src/content/articles/ro/en/essential-english-phrases-for-couples.mdx
4,ro,en,4,practical-guide,meeting-your-partners-english-family,"Meeting Your Partner's English Family",src/content/articles/ro/en/meeting-your-partners-english-family.mdx
5,ro,en,5,phrases-list,english-greetings-and-farewells,"English Greetings and Farewells",src/content/articles/ro/en/english-greetings-and-farewells.mdx
6,ro,en,6,phrases-list,english-date-night-vocabulary,"English Date Night Vocabulary",src/content/articles/ro/en/english-date-night-vocabulary.mdx
7,ro,en,7,phrases-list,romantic-english-phrases-for-every-occasion,"Romantic English Phrases for Every Occasion",src/content/articles/ro/en/romantic-english-phrases-for-every-occasion.mdx
8,ro,en,8,grammar-guide,english-pronunciation-guide-for-beginners,"English Pronunciation Guide for Beginners",src/content/articles/ro/en/english-pronunciation-guide-for-beginners.mdx
9,ro,en,9,grammar-guide,english-grammar-basics-for-beginners,"English Grammar Basics for Beginners",src/content/articles/ro/en/english-grammar-basics-for-beginners.mdx
10,ro,en,10,comparison,is-english-hard-to-learn,"Is English Hard to Learn?",src/content/articles/ro/en/is-english-hard-to-learn.mdx
11,ro,es,1,how-to-say,how-to-say-i-love-you-in-spanish,"How to Say I Love You in Spanish",src/content/articles/ro/es/how-to-say-i-love-you-in-spanish.mdx
12,ro,es,2,phrases-list,spanish-pet-names-for-your-partner,"Spanish Pet Names for Your Partner",src/content/articles/ro/es/spanish-pet-names-for-your-partner.mdx
13,ro,es,3,phrases-list,essential-spanish-phrases-for-couples,"Essential Spanish Phrases for Couples",src/content/articles/ro/es/essential-spanish-phrases-for-couples.mdx
14,ro,es,4,practical-guide,meeting-your-partners-spanish-family,"Meeting Your Partner's Spanish Family",src/content/articles/ro/es/meeting-your-partners-spanish-family.mdx
15,ro,es,5,phrases-list,spanish-greetings-and-farewells,"Spanish Greetings and Farewells",src/content/articles/ro/es/spanish-greetings-and-farewells.mdx
16,ro,es,6,phrases-list,spanish-date-night-vocabulary,"Spanish Date Night Vocabulary",src/content/articles/ro/es/spanish-date-night-vocabulary.mdx
17,ro,es,7,phrases-list,romantic-spanish-phrases-for-every-occasion,"Romantic Spanish Phrases for Every Occasion",src/content/articles/ro/es/romantic-spanish-phrases-for-every-occasion.mdx
