native,target,topic,template
sv,cs,Date Night Vocabulary,phrases-list
sv,el,Meeting Your Partner's Family,practical-guide
sv,el,Grammar Basics for Beginners,grammar-guide
no,fr,50 Pet Names and Terms of Endearment,phrases-list
no,uk,How to Say I Love You,how-to-say
no,sv,50 Pet Names and Terms of Endearment,phrases-list
no,el,Grammar Basics for Beginners,grammar-guide
no,hu,How to Say I Love You,how-to-say
da,de,Meeting Your Partner's Family,practical-guide
da,ro,Meeting Your Partner's Family,practical-guide
da,ro,50 Pet Names and Terms of Endearment,phrases-list
da,sv,How to Say I Love You,how-to-say
da,el,How to Say I Love You,how-to-say
cs,de,50 Pet Names and Terms of Endearment,phrases-list
cs,it,Date Night Vocabulary,phrases-list
cs,it,50 Pet Names and Terms of Endearment,phrases-list
cs,pt,How to Say I Love You,how-to-say
cs,pl,50 Pet Names and Terms of Endearment,phrases-list
cs,ru,50 Pet Names and Terms of Endearment,phrases-list
cs,uk,50 Pet Names and Terms of Endearment,phrases-list
cs,tr,Meeting Your Partner's Family,practical-guide
cs,ro,Meeting Your Partner's Family,practical-guide
cs,sv,How to Say I Love You,how-to-say
cs,el,50 Pet Names and Terms of Endearment,phrases-list
el,de,50 Pet Names and Terms of Endearment,phrases-list
el,uk,50 Pet Names and Terms of Endearment,phrases-list
el,ro,50 Pet Names and Terms of Endearment,phrases-list
el,no,Date Night Vocabulary,phrases-list
el,hu,Grammar Basics for Beginners,grammar-guide
hu,cs,How to Say I Love You,how-to-say
