task_id,native_lang,target_lang,topic_id,template,slug,title,output_path
1,ru,en,1,how-to-say,how-to-say-i-love-you-in-english,"How to Say I Love You in English",src/content/articles/ru/en/how-to-say-i-love-you-in-english.mdx
2,ru,en,2,phrases-list,english-pet-names-for-your-partner,"English Pet Names for Your Partner",src/content/articles/ru/en/english-pet-names-for-your-partner.mdx
3,ru,en,3,phrases-list,essential-english-phrases-for-couples,"Essential English Phrases for Couples",src/content/articles/ru/en/essential-english-phrases-for-couples.mdx
4,ru,en,4,practical-guide,meeting-your-partners-english-family,"Meeting Your Partner's English Family",src/content/articles/ru/en/meeting-your-partners-english-family.mdx
5,ru,en,5,phrases-list,english-greetings-and-farewells,"English Greetings and Farewells",src/content/articles/ru/en/english-greetings-and-farewells.mdx
6,ru,en,6,phrases-list,english-date-night-vocabulary,"English Date Night Vocabulary",src/content/articles/ru/en/english-date-night-vocabulary.mdx
7,ru,en,7,phrases-list,romantic-english-phrases-for-every-occasion,"Romantic English Phrases for Every Occasion",src/content/articles/ru/en/romantic-english-phrases-for-every-occasion.mdx
8,ru,en,8,grammar-guide,english-pronunciation-guide-for-beginners,"English Pronunciation Guide for Beginners",src/content/articles/ru/en/english-pronunciation-guide-for-beginners.mdx
9,ru,en,9,grammar-guide,english-grammar-basics-for-beginners,"English Grammar Basics for Beginners",src/content/articles/ru/en/english-grammar-basics-for-beginners.mdx
10,ru,en,10,comparison,is-english-hard-to-learn,"Is English Hard to Learn?",src/content/articles/ru/en/is-english-hard-to-learn.mdx
11,ru,es,1,how-to-say,how-to-say-i-love-you-in-spanish,"How to Say I Love You in Spanish",src/content/articles/ru/es/how-to-say-i-love-you-in-spanish.mdx
12,ru,es,2,phrases-list,spanish-pet-names-for-your-partner,"Spanish Pet Names for Your Partner",src/content/articles/ru/es/spanish-pet-names-for-your-partner.mdx
13,ru,es,3,phrases-list,essential-spanish-phrases-for-couples,"Essential Spanish Phrases for Couples",src/content/articles/ru/es/essential-spanish-phrases-for-couples.mdx
14,ru,es,4,practical-guide,meeting-your-partners-spanish-family,"Meeting Your Partner's Spanish Family",src/content/articles/ru/es/meeting-your-partners-spanish-family.mdx
15,ru,es,5,phrases-list,spanish-greetings-and-farewells,"Spanish Greetings and Farewells",src/content/articles/ru/es/spanish-greetings-and-farewells.mdx
16,ru,es,6,phrases-list,spanish-date-night-vocabulary,"Spanish Date Night Vocabulary",src/content/articles/ru/es/spanish-date-night-vocabulary.mdx
17,ru,es,7,phrases-list,romantic-spanish-phrases-for-every-occasion,"Romantic Spanish Phrases for Every Occasion",src/content/articles/ru/es/romantic-spanish-phrases-for-every-occasion.mdx
18,ru,es,8,grammar-guide,spanish-pronunciation-guide-for-beginners,"Spanish Pronunciation Guide for Beginners",src/content/articles/ru/es/spanish-pronunciation-guide-for-beginners.mdx
19,ru,es,9,grammar-guide,spanish-grammar-basics-for-beginners,"Spanish Grammar Basics for Beginners",src/content/articles/ru/es/spanish-grammar-basics-for-beginners.mdx
20,ru,es,10,comparison,is-spanish-hard-to-learn,"Is Spanish Hard to Learn?",src/content/articles/ru/es/is-spanish-hard-to-learn.mdx
21,ru,fr,1,how-to-say,how-to-say-i-love-you-in-french,"How to Say I Love You in French",src/content/articles/ru/fr/how-to-say-i-love-you-in-french.mdx
22,ru,fr,2,phrases-list,french-pet-names-for-your-partner,"French Pet Names for Your Partner",src/content/articles/ru/fr/french-pet-names-for-your-partner.mdx
